# Region type : faceZone fz_solid_64
# Faces  :    1400
# Area   :    1.016377e-01
# Time        	sum(phi)
20            	-1.446270e-05
40            	-8.781246e-06
60            	-5.839582e-06
80            	-4.682877e-06
100           	-5.438038e-06
120           	-7.548101e-06
140           	-9.863375e-06
160           	-1.597591e-05
180           	-2.168873e-05
200           	-2.790834e-05
220           	-3.510008e-05
240           	-4.358142e-05
260           	-4.958616e-05
280           	-4.822541e-05
300           	-3.981384e-05
320           	-2.556132e-05
340           	-7.533342e-06
360           	1.338653e-05
380           	3.036483e-05
400           	3.961645e-05
420           	4.230453e-05
440           	4.266336e-05
460           	4.542979e-05
480           	5.219714e-05
500           	6.303303e-05
520           	7.666132e-05
540           	9.174512e-05
560           	1.070248e-04
580           	1.215024e-04
600           	1.347686e-04
620           	1.466317e-04
640           	1.571601e-04
660           	1.666625e-04
680           	1.751305e-04
700           	1.828121e-04
720           	1.897972e-04
740           	1.960535e-04
760           	2.016154e-04
780           	2.066536e-04
800           	2.113005e-04
820           	2.156218e-04
840           	2.196523e-04
860           	2.233614e-04
880           	2.265558e-04
900           	2.294126e-04
920           	2.320199e-04
940           	2.345087e-04
960           	2.369302e-04
980           	2.393101e-04
1000          	2.416880e-04
1020          	2.440788e-04
1040          	2.463761e-04
