# Region      : cellZone cz_solid_51
# Cells       : 2072
# Volume      : 2.141377e-03
# Time        	volIntegrateU
20            	7.330059e-10 -8.147126e-09 3.450430e-09
40            	6.531408e-10 -1.514876e-08 4.413967e-09
60            	5.452360e-10 -2.217041e-08 5.330036e-09
80            	3.957897e-10 -2.920221e-08 6.167437e-09
100           	1.872957e-10 -3.646581e-08 6.834622e-09
120           	-1.093655e-10 -4.414443e-08 7.250701e-09
140           	-1.051849e-09 -5.252888e-08 7.257248e-09
160           	-1.490564e-09 -6.061947e-08 6.767249e-09
180           	-2.170717e-09 -6.798857e-08 5.597278e-09
200           	-2.873900e-09 -7.410589e-08 3.736675e-09
220           	-3.301930e-09 -7.885487e-08 1.350549e-09
240           	-3.020992e-09 -8.278944e-08 -1.013063e-09
260           	-2.110660e-09 -8.679081e-08 -2.678712e-09
280           	-1.135458e-09 -9.143489e-08 -3.494750e-09
300           	-4.444558e-10 -9.680612e-08 -3.718481e-09
320           	-3.608187e-11 -1.026402e-07 -3.631686e-09
340           	2.121682e-10 -1.085744e-07 -3.394769e-09
360           	3.749936e-10 -1.142877e-07 -3.077849e-09
380           	4.769920e-10 -1.195368e-07 -2.725914e-09
400           	5.311484e-10 -1.241650e-07 -2.375985e-09
420           	5.523765e-10 -1.281025e-07 -2.053992e-09
440           	5.551909e-10 -1.313511e-07 -1.775258e-09
460           	5.496058e-10 -1.339617e-07 -1.545696e-09
480           	5.428746e-10 -1.360071e-07 -1.363457e-09
500           	5.404642e-10 -1.375640e-07 -1.220777e-09
520           	5.448822e-10 -1.387026e-07 -1.106998e-09
540           	5.559702e-10 -1.394814e-07 -1.010882e-09
560           	5.730905e-10 -1.399453e-07 -9.217849e-10
580           	5.954790e-10 -1.401265e-07 -8.292802e-10
600           	6.208452e-10 -1.400470e-07 -7.245048e-10
620           	6.444625e-10 -1.397211e-07 -6.019120e-10
640           	6.604058e-10 -1.391565e-07 -4.628239e-10
660           	6.639360e-10 -1.383549e-07 -3.151092e-10
680           	6.500324e-10 -1.373059e-07 -1.719137e-10
700           	6.135964e-10 -1.359799e-07 -5.610309e-11
720           	5.682207e-10 -1.343562e-07 1.325525e-11
740           	5.333316e-10 -1.324688e-07 4.052071e-11
760           	5.091132e-10 -1.303896e-07 4.721217e-11
780           	4.874182e-10 -1.281787e-07 4.197415e-11
800           	4.686933e-10 -1.258804e-07 2.886876e-11
820           	4.529102e-10 -1.235352e-07 1.111479e-11
840           	4.401328e-10 -1.211760e-07 -9.370299e-12
860           	4.321241e-10 -1.188273e-07 -3.142861e-11
880           	4.287460e-10 -1.165059e-07 -5.336149e-11
900           	4.282145e-10 -1.142200e-07 -7.450204e-11
920           	4.298544e-10 -1.119716e-07 -9.454558e-11
940           	4.327371e-10 -1.097598e-07 -1.124348e-10
960           	4.357492e-10 -1.075808e-07 -1.275057e-10
980           	4.381806e-10 -1.054302e-07 -1.403477e-10
1000          	4.397260e-10 -1.033037e-07 -1.515011e-10
1020          	4.401962e-10 -1.011974e-07 -1.607033e-10
