# Region      : cellZone cz_solid_15
# Cells       : 1938
# Volume      : 2.142630e-03
# Time        	volIntegrate(U)
20            	(7.998116e-09 -6.936948e-09 2.575137e-09)
40            	(7.063884e-09 -1.196314e-08 2.461900e-09)
60            	(6.459216e-09 -1.618031e-08 2.474096e-09)
80            	(5.855058e-09 -1.961078e-08 2.474717e-09)
100           	(5.172158e-09 -2.217641e-08 2.430119e-09)
120           	(4.377771e-09 -2.376902e-08 2.302697e-09)
140           	(3.456611e-09 -2.433972e-08 2.022651e-09)
160           	(2.445196e-09 -2.385289e-08 1.631388e-09)
180           	(1.643179e-09 -2.256177e-08 1.224552e-09)
200           	(9.962675e-10 -2.071961e-08 8.154344e-10)
220           	(5.118374e-10 -1.854676e-08 4.485807e-10)
240           	(1.863664e-10 -1.620946e-08 1.571780e-10)
260           	(5.104697e-12 -1.388642e-08 -6.347266e-11)
280           	(-6.008007e-11 -1.184079e-08 -2.598933e-10)
300           	(-5.935818e-11 -1.025750e-08 -4.397899e-10)
320           	(-2.504996e-11 -9.029701e-09 -5.736922e-10)
340           	(3.479564e-11 -7.993320e-09 -6.542441e-10)
360           	(1.110254e-10 -7.046449e-09 -6.932108e-10)
380           	(2.140081e-10 -6.129397e-09 -7.002430e-10)
400           	(3.315992e-10 -5.212401e-09 -6.899984e-10)
420           	(4.572665e-10 -4.288843e-09 -6.774559e-10)
440           	(6.018629e-10 -3.350097e-09 -6.700263e-10)
460           	(7.720293e-10 -2.380226e-09 -6.600734e-10)
480           	(9.474350e-10 -1.365752e-09 -6.033478e-10)
500           	(1.060347e-09 -2.866248e-10 -4.361501e-10)
520           	(1.060408e-09 8.750699e-10 -2.297579e-10)
540           	(1.000868e-09 2.032047e-09 -1.136152e-10)
560           	(9.442556e-10 3.083989e-09 -1.008484e-10)
580           	(9.133569e-10 3.999264e-09 -1.311836e-10)
600           	(9.028323e-10 4.768836e-09 -1.633629e-10)
620           	(9.036085e-10 5.387293e-09 -1.873771e-10)
640           	(9.068053e-10 5.856720e-09 -2.052788e-10)
660           	(9.065739e-10 6.191235e-09 -2.193576e-10)
680           	(9.014271e-10 6.413775e-09 -2.307848e-10)
700           	(8.918092e-10 6.552315e-09 -2.401850e-10)
720           	(8.792110e-10 6.633221e-09 -2.476709e-10)
740           	(8.643601e-10 6.678525e-09 -2.534013e-10)
760           	(8.460359e-10 6.706616e-09 -2.578445e-10)
780           	(8.236726e-10 6.733831e-09 -2.612924e-10)
800           	(7.967609e-10 6.774362e-09 -2.642284e-10)
820           	(7.648846e-10 6.839200e-09 -2.673481e-10)
840           	(7.283713e-10 6.936216e-09 -2.713034e-10)
860           	(6.870627e-10 7.069944e-09 -2.771139e-10)
880           	(6.415131e-10 7.242181e-09 -2.851259e-10)
900           	(5.928626e-10 7.451565e-09 -2.947869e-10)
920           	(5.426276e-10 7.693119e-09 -3.055295e-10)
940           	(4.921718e-10 7.958148e-09 -3.174775e-10)
960           	(4.411336e-10 8.237633e-09 -3.318237e-10)
980           	(3.876316e-10 8.526347e-09 -3.487155e-10)
1000          	(3.298589e-10 8.824939e-09 -3.664007e-10)
1020          	(2.692730e-10 9.136970e-09 -3.816030e-10)
