# Region      : cellZone cz_solid_34
# Cells       : 1892
# Volume      : 2.144218e-03
# Time        	volIntegrateU
20            	5.667326e-09 -1.513104e-08 4.015496e-09
40            	5.387923e-09 -2.576261e-08 4.293418e-09
60            	5.109675e-09 -3.479432e-08 4.504071e-09
80            	4.572300e-09 -4.197743e-08 4.575406e-09
100           	3.732222e-09 -4.697572e-08 4.470840e-09
120           	2.606637e-09 -4.952170e-08 4.094909e-09
140           	1.364342e-09 -4.952535e-08 3.309445e-09
160           	-6.146505e-11 -4.713980e-08 2.111449e-09
180           	-7.643532e-10 -4.339192e-08 1.076691e-09
200           	-1.140126e-09 -3.918483e-08 1.751957e-10
220           	-1.284429e-09 -3.521766e-08 -4.907581e-10
240           	-1.302543e-09 -3.188067e-08 -9.215142e-10
260           	-1.254296e-09 -2.929686e-08 -1.176234e-09
280           	-1.168440e-09 -2.744179e-08 -1.312391e-09
300           	-1.057676e-09 -2.623083e-08 -1.364675e-09
320           	-9.329376e-10 -2.556238e-08 -1.356559e-09
340           	-7.975869e-10 -2.532991e-08 -1.303254e-09
360           	-6.569906e-10 -2.542644e-08 -1.219828e-09
380           	-5.169747e-10 -2.575341e-08 -1.119947e-09
400           	-3.757931e-10 -2.622265e-08 -1.010109e-09
420           	-2.359678e-10 -2.675213e-08 -8.983077e-10
440           	-9.545518e-11 -2.727572e-08 -7.871264e-10
460           	4.394996e-11 -2.773616e-08 -6.797226e-10
480           	1.834477e-10 -2.809186e-08 -5.761697e-10
500           	3.228753e-10 -2.830921e-08 -4.756660e-10
520           	4.641144e-10 -2.836526e-08 -3.742197e-10
540           	6.041182e-10 -2.824617e-08 -2.690918e-10
560           	7.367478e-10 -2.795119e-08 -1.560082e-10
580           	8.489207e-10 -2.750403e-08 -3.081321e-11
600           	9.255970e-10 -2.696210e-08 1.074791e-10
620           	9.619689e-10 -2.640428e-08 2.479086e-10
640           	9.679203e-10 -2.591486e-08 3.673815e-10
660           	9.646072e-10 -2.556853e-08 4.483601e-10
680           	9.667152e-10 -2.541235e-08 4.934348e-10
700           	9.762559e-10 -2.545792e-08 5.170988e-10
720           	9.895916e-10 -2.568996e-08 5.322735e-10
740           	1.002200e-09 -2.608101e-08 5.435939e-10
760           	1.011787e-09 -2.660142e-08 5.525175e-10
780           	1.017602e-09 -2.722454e-08 5.585215e-10
800           	1.019493e-09 -2.792636e-08 5.613146e-10
820           	1.017794e-09 -2.868497e-08 5.614817e-10
840           	1.012273e-09 -2.947864e-08 5.589391e-10
860           	1.003366e-09 -3.028912e-08 5.540163e-10
880           	9.918856e-10 -3.110124e-08 5.473253e-10
900           	9.783383e-10 -3.190311e-08 5.390674e-10
920           	9.630579e-10 -3.268615e-08 5.293026e-10
940           	9.462472e-10 -3.344397e-08 5.179600e-10
960           	9.282183e-10 -3.417178e-08 5.052226e-10
980           	9.089995e-10 -3.486528e-08 4.911036e-10
1000          	8.891489e-10 -3.552129e-08 4.761068e-10
1020          	8.690262e-10 -3.613830e-08 4.603538e-10
1040          	8.488493e-10 -3.671607e-08 4.438896e-10
1060          	8.282142e-10 -3.725530e-08 4.263743e-10
1080          	8.067899e-10 -3.775770e-08 4.077799e-10
1100          	7.849983e-10 -3.822649e-08 3.888602e-10
