# Region      : cellZone cz_solid_80
# Cells       : 2123
# Volume      : 2.141647e-03
# Time        	volIntegrateU
20            	-1.271287e-09 -4.416696e-09 2.384962e-09
40            	-2.812868e-09 -4.526949e-09 3.606796e-09
60            	-3.129518e-09 -2.884688e-09 3.494915e-09
80            	-2.829732e-09 -5.145457e-10 2.727844e-09
100           	-2.500286e-09 1.657829e-09 1.956350e-09
120           	-2.259441e-09 3.288661e-09 1.469973e-09
140           	-1.993992e-09 4.418518e-09 1.155135e-09
160           	-1.902515e-09 5.137621e-09 8.379654e-10
180           	-1.807924e-09 5.630798e-09 6.220597e-10
200           	-1.728913e-09 5.943549e-09 4.399849e-10
220           	-1.654822e-09 6.046715e-09 2.677513e-10
240           	-1.578593e-09 5.861868e-09 1.028498e-10
260           	-1.500758e-09 5.357079e-09 -4.131130e-11
280           	-1.422452e-09 4.639274e-09 -1.423023e-10
300           	-1.336758e-09 3.931486e-09 -1.908864e-10
320           	-1.238015e-09 3.396554e-09 -1.918981e-10
340           	-1.133127e-09 3.094926e-09 -1.586623e-10
360           	-1.042870e-09 3.090687e-09 -7.804433e-11
380           	-9.865735e-10 3.477253e-09 8.004462e-11
400           	-9.721214e-10 4.269793e-09 3.094124e-10
420           	-9.818890e-10 5.328972e-09 5.693704e-10
440           	-1.003916e-09 6.417363e-09 8.232269e-10
460           	-1.035774e-09 7.298433e-09 1.036458e-09
480           	-1.070652e-09 7.802524e-09 1.184940e-09
500           	-1.097817e-09 7.871510e-09 1.274192e-09
520           	-1.122651e-09 7.568045e-09 1.332302e-09
540           	-1.152433e-09 7.018184e-09 1.370785e-09
560           	-1.182441e-09 6.328415e-09 1.383382e-09
580           	-1.206747e-09 5.573356e-09 1.374296e-09
600           	-1.225653e-09 4.805835e-09 1.352669e-09
620           	-1.240871e-09 4.056869e-09 1.325597e-09
640           	-1.252477e-09 3.338953e-09 1.296625e-09
660           	-1.259454e-09 2.652617e-09 1.266621e-09
680           	-1.261195e-09 1.992845e-09 1.235926e-09
700           	-1.257630e-09 1.352467e-09 1.204431e-09
720           	-1.249190e-09 7.249352e-10 1.172771e-09
740           	-1.237770e-09 1.064571e-10 1.142116e-09
760           	-1.224894e-09 -5.042242e-10 1.113320e-09
780           	-1.210976e-09 -1.106516e-09 1.086404e-09
800           	-1.196827e-09 -1.699703e-09 1.061527e-09
820           	-1.183084e-09 -2.284442e-09 1.038188e-09
840           	-1.169217e-09 -2.863006e-09 1.015688e-09
860           	-1.155180e-09 -3.436838e-09 9.947919e-10
880           	-1.142827e-09 -4.005396e-09 9.767557e-10
900           	-1.132839e-09 -4.568247e-09 9.610628e-10
920           	-1.123391e-09 -5.126922e-09 9.467538e-10
940           	-1.114103e-09 -5.684213e-09 9.340863e-10
960           	-1.105570e-09 -6.242244e-09 9.231039e-10
980           	-1.097722e-09 -6.801758e-09 9.132786e-10
1000          	-1.089863e-09 -7.362919e-09 9.045089e-10
1020          	-1.082441e-09 -7.926121e-09 8.967745e-10
