# Region type : faceZone fz_solid_29
# Faces  :    1720
# Area   :    1.017068e-01
# Time        	sum(phi)
20            	1.150722e-05
40            	1.507959e-05
60            	1.559779e-05
80            	1.569333e-05
100           	1.617143e-05
120           	1.654749e-05
140           	1.619329e-05
160           	1.644754e-05
180           	1.603059e-05
200           	1.450866e-05
220           	1.214920e-05
240           	8.779160e-06
260           	3.689657e-06
280           	-3.530350e-06
300           	-1.083470e-05
320           	-1.558231e-05
340           	-1.774869e-05
360           	-1.849949e-05
380           	-1.915794e-05
400           	-1.991936e-05
420           	-2.051848e-05
440           	-2.075010e-05
460           	-2.063090e-05
480           	-2.023723e-05
500           	-1.988739e-05
520           	-1.971039e-05
540           	-1.973732e-05
560           	-2.010522e-05
580           	-2.026908e-05
600           	-2.018641e-05
620           	-1.982858e-05
640           	-1.893190e-05
660           	-1.742403e-05
680           	-1.512760e-05
700           	-1.232528e-05
720           	-9.084394e-06
740           	-5.607400e-06
760           	-1.882879e-06
780           	1.528341e-06
800           	4.135472e-06
820           	6.703089e-06
840           	9.222247e-06
860           	1.138900e-05
880           	1.358404e-05
900           	1.565602e-05
920           	1.790926e-05
940           	1.936525e-05
960           	1.962567e-05
980           	2.141874e-05
1000          	2.507030e-05
1020          	3.191020e-05
