# Region type : faceZone fz_solid_71
# Faces  :    1724
# Area   :    1.017109e-01
# Time        	sum(phi)
20            	-1.919138e-05
40            	-2.369702e-05
60            	-2.962371e-05
80            	-3.649175e-05
100           	-4.474863e-05
120           	-5.445846e-05
140           	-7.580117e-05
160           	-8.114853e-05
180           	-8.567270e-05
200           	-8.794143e-05
220           	-7.714333e-05
240           	-4.964402e-05
260           	-2.591845e-05
280           	-1.647614e-05
300           	-1.873076e-05
320           	-2.494090e-05
340           	-3.087918e-05
360           	-3.579522e-05
380           	-3.986721e-05
400           	-4.308500e-05
420           	-4.553307e-05
440           	-4.725618e-05
460           	-4.835523e-05
480           	-4.887920e-05
500           	-4.889385e-05
520           	-4.847288e-05
540           	-4.776177e-05
560           	-4.689762e-05
580           	-4.598406e-05
600           	-4.528755e-05
620           	-4.506784e-05
640           	-4.551077e-05
660           	-4.668193e-05
680           	-4.829713e-05
700           	-4.938047e-05
720           	-4.952985e-05
740           	-4.937190e-05
760           	-4.912616e-05
780           	-4.857745e-05
800           	-4.774240e-05
820           	-4.666186e-05
840           	-4.543719e-05
860           	-4.408734e-05
880           	-4.266948e-05
900           	-4.112793e-05
920           	-3.956437e-05
940           	-3.792409e-05
960           	-3.628934e-05
980           	-3.471984e-05
1000          	-3.326175e-05
1020          	-3.189495e-05
1040          	-3.061348e-05
1060          	-2.939248e-05
1080          	-2.821212e-05
1100          	-2.706949e-05
1120          	-2.578202e-05
1140          	-2.426479e-05
1160          	-2.248026e-05
1180          	-2.039738e-05
1200          	-1.816746e-05
1220          	-1.591412e-05
1240          	-1.368704e-05
1260          	-1.147402e-05
1280          	-9.294926e-06
1300          	-7.108357e-06
1320          	-4.900166e-06
1340          	-2.673806e-06
1360          	-4.072779e-07
1380          	1.906514e-06
1400          	4.273951e-06
1420          	6.711724e-06
1440          	9.222611e-06
1460          	1.178930e-05
1480          	1.440797e-05
1500          	1.705665e-05
1520          	1.974381e-05
1540          	2.243388e-05
1560          	2.514782e-05
1580          	2.786635e-05
1600          	3.062984e-05
1620          	3.337309e-05
1640          	3.612547e-05
1660          	3.887881e-05
1680          	4.162496e-05
1700          	4.433791e-05
1720          	4.704299e-05
1740          	4.966258e-05
1760          	5.220807e-05
1780          	5.464342e-05
1800          	5.700366e-05
1820          	5.928219e-05
1840          	6.148333e-05
1860          	6.358041e-05
1880          	6.561718e-05
1900          	6.755886e-05
