# Region type : faceZone fz_solid_0
# Faces  :    1950
# Area   :    1.017399e-01
# Time        	sum(phi)
20            	3.050112e-07
40            	-7.533095e-06
60            	-1.535618e-05
80            	-2.039913e-05
100           	-2.324377e-05
120           	-2.444511e-05
140           	-2.479581e-05
160           	-2.592331e-05
180           	-2.276773e-05
200           	-1.838194e-05
220           	-1.198858e-05
240           	-3.087157e-06
260           	8.650279e-06
280           	2.432546e-05
300           	5.170601e-05
320           	7.281483e-05
340           	8.396245e-05
360           	9.504706e-05
380           	1.087529e-04
400           	1.255936e-04
420           	1.452980e-04
440           	1.671008e-04
460           	1.906861e-04
480           	2.160045e-04
500           	2.428974e-04
520           	2.707632e-04
540           	2.974143e-04
560           	3.198671e-04
580           	3.359571e-04
600           	3.462700e-04
620           	3.516583e-04
640           	3.513734e-04
660           	3.485343e-04
680           	3.430633e-04
700           	3.369550e-04
720           	3.298321e-04
740           	3.220873e-04
760           	3.139032e-04
780           	3.056460e-04
800           	2.979937e-04
820           	2.910793e-04
840           	2.850129e-04
860           	2.799596e-04
880           	2.756395e-04
900           	2.717590e-04
920           	2.679269e-04
940           	2.636966e-04
960           	2.587874e-04
980           	2.531886e-04
1000          	2.473078e-04
1020          	2.413790e-04
1040          	2.362454e-04
1060          	2.324375e-04
1080          	2.296966e-04
1100          	2.276416e-04
