# Region      : cellZone cz_solid_4
# Cells       : 1344
# Volume      : 2.139248e-03
# Time        	volIntegrate(U)
20            	(-2.246948e-09 -3.194353e-09 -1.565637e-09)
40            	(-2.054468e-09 -5.070105e-09 -1.234013e-09)
60            	(-2.131800e-09 -6.649167e-09 -1.107563e-09)
80            	(-2.237936e-09 -8.105672e-09 -1.035564e-09)
100           	(-2.352546e-09 -9.591498e-09 -9.905930e-10)
120           	(-2.466160e-09 -1.120085e-08 -9.604820e-10)
140           	(-2.611940e-09 -1.302998e-08 -9.758412e-10)
160           	(-2.761554e-09 -1.513307e-08 -9.761017e-10)
180           	(-2.860294e-09 -1.751334e-08 -9.605149e-10)
200           	(-2.941099e-09 -2.016402e-08 -9.399279e-10)
220           	(-3.002586e-09 -2.306400e-08 -9.093486e-10)
240           	(-3.043116e-09 -2.617720e-08 -8.595581e-10)
260           	(-3.063048e-09 -2.945606e-08 -7.845160e-10)
280           	(-3.071009e-09 -3.284822e-08 -6.815381e-10)
300           	(-3.075594e-09 -3.629321e-08 -5.500499e-10)
320           	(-3.085835e-09 -3.972446e-08 -3.956585e-10)
340           	(-3.103786e-09 -4.307601e-08 -2.251631e-10)
360           	(-3.123909e-09 -4.628435e-08 -4.291281e-11)
380           	(-3.134309e-09 -4.929146e-08 1.472491e-10)
400           	(-3.123252e-09 -5.206600e-08 3.337633e-10)
420           	(-3.085517e-09 -5.464211e-08 5.033015e-10)
440           	(-3.015326e-09 -5.708832e-08 6.525318e-10)
460           	(-2.912875e-09 -5.943492e-08 7.827347e-10)
480           	(-2.792424e-09 -6.167918e-08 8.926770e-10)
500           	(-2.674040e-09 -6.382261e-08 9.775833e-10)
520           	(-2.572856e-09 -6.588826e-08 1.034365e-09)
540           	(-2.495059e-09 -6.791297e-08 1.065230e-09)
560           	(-2.438536e-09 -6.992695e-08 1.077328e-09)
580           	(-2.397601e-09 -7.194180e-08 1.079137e-09)
600           	(-2.366649e-09 -7.395427e-08 1.077723e-09)
620           	(-2.342179e-09 -7.595651e-08 1.077244e-09)
640           	(-2.322479e-09 -7.794282e-08 1.079933e-09)
660           	(-2.306728e-09 -7.991116e-08 1.086379e-09)
680           	(-2.294219e-09 -8.186205e-08 1.096047e-09)
700           	(-2.284104e-09 -8.379775e-08 1.108202e-09)
720           	(-2.275333e-09 -8.572061e-08 1.121921e-09)
740           	(-2.266613e-09 -8.763204e-08 1.136403e-09)
760           	(-2.256239e-09 -8.953129e-08 1.151429e-09)
780           	(-2.242753e-09 -9.141551e-08 1.167115e-09)
800           	(-2.225057e-09 -9.327891e-08 1.183949e-09)
820           	(-2.202798e-09 -9.511271e-08 1.202786e-09)
840           	(-2.176483e-09 -9.690663e-08 1.224430e-09)
860           	(-2.147739e-09 -9.865139e-08 1.249366e-09)
880           	(-2.118868e-09 -1.003406e-07 1.277362e-09)
900           	(-2.092415e-09 -1.019717e-07 1.307253e-09)
920           	(-2.070120e-09 -1.035482e-07 1.337291e-09)
940           	(-2.052083e-09 -1.050798e-07 1.366951e-09)
960           	(-2.036539e-09 -1.065759e-07 1.396591e-09)
980           	(-2.021042e-09 -1.080407e-07 1.425740e-09)
