# Region      : cellZone cz_solid_99
# Cells       : 2029
# Volume      : 2.140608e-03
# Time        	volIntegrateU
20            	-2.267138e-09 -3.899958e-09 2.120344e-09
40            	-3.989671e-09 -3.484617e-09 2.610806e-09
60            	-4.004852e-09 -1.323999e-09 2.403522e-09
80            	-3.333882e-09 1.195110e-09 1.933973e-09
100           	-2.688328e-09 3.337355e-09 1.484398e-09
120           	-2.258922e-09 4.957989e-09 1.139790e-09
140           	-2.060856e-09 6.127954e-09 1.030634e-09
160           	-1.932035e-09 7.004917e-09 8.689866e-10
180           	-1.863176e-09 7.610076e-09 8.148231e-10
200           	-1.811879e-09 8.099437e-09 7.880269e-10
220           	-1.756839e-09 8.505783e-09 7.603490e-10
240           	-1.695456e-09 8.800119e-09 7.097805e-10
260           	-1.632637e-09 8.957960e-09 6.411249e-10
280           	-1.572830e-09 9.022178e-09 5.780052e-10
300           	-1.513013e-09 9.040887e-09 5.311999e-10
320           	-1.449609e-09 9.041616e-09 4.952075e-10
340           	-1.376646e-09 9.063784e-09 4.613773e-10
360           	-1.296773e-09 9.161880e-09 4.266699e-10
380           	-1.219837e-09 9.380544e-09 3.946494e-10
400           	-1.151837e-09 9.733259e-09 3.714031e-10
420           	-1.092574e-09 1.021308e-08 3.540365e-10
440           	-1.037709e-09 1.080597e-08 3.380708e-10
460           	-9.863278e-10 1.149402e-08 3.218750e-10
480           	-9.381964e-10 1.226114e-08 3.057687e-10
500           	-8.931875e-10 1.309579e-08 2.883331e-10
520           	-8.518234e-10 1.397998e-08 2.680870e-10
540           	-8.173553e-10 1.488076e-08 2.506365e-10
560           	-7.913554e-10 1.576790e-08 2.437157e-10
580           	-7.693733e-10 1.663612e-08 2.463445e-10
600           	-7.440149e-10 1.749300e-08 2.496343e-10
620           	-7.118188e-10 1.833952e-08 2.451823e-10
640           	-6.763830e-10 1.917406e-08 2.312314e-10
