# Region      : cellZone cz_solid_52
# Cells       : 2149
# Volume      : 2.144755e-03
# Time        	volIntegrate(U)
20            	(1.987627e-09 -9.135503e-09 3.668041e-09)
40            	(2.143714e-09 -1.720641e-08 4.686478e-09)
60            	(2.212005e-09 -2.536999e-08 5.557602e-09)
80            	(2.150484e-09 -3.345327e-08 6.278415e-09)
100           	(1.878700e-09 -4.149043e-08 6.741725e-09)
120           	(1.289956e-09 -4.940556e-08 6.823526e-09)
140           	(-5.412206e-10 -5.644356e-08 5.848917e-09)
160           	(-1.626423e-09 -6.212060e-08 4.704928e-09)
180           	(-3.031144e-09 -6.576589e-08 2.610039e-09)
200           	(-3.891155e-09 -6.749402e-08 -4.229299e-11)
220           	(-3.671795e-09 -6.842819e-08 -2.413808e-09)
240           	(-2.809148e-09 -6.974859e-08 -3.812394e-09)
260           	(-1.967451e-09 -7.191994e-08 -4.359855e-09)
280           	(-1.339882e-09 -7.487392e-08 -4.429471e-09)
300           	(-8.862563e-10 -7.826425e-08 -4.250634e-09)
320           	(-5.528362e-10 -8.169882e-08 -3.930517e-09)
340           	(-3.164032e-10 -8.488865e-08 -3.525798e-09)
360           	(-1.595104e-10 -8.766549e-08 -3.089508e-09)
380           	(-5.702164e-11 -8.995677e-08 -2.664545e-09)
400           	(1.342186e-11 -9.175324e-08 -2.277448e-09)
420           	(6.600177e-11 -9.308160e-08 -1.940057e-09)
440           	(1.089846e-10 -9.398597e-08 -1.654582e-09)
460           	(1.473813e-10 -9.451803e-08 -1.417891e-09)
480           	(1.845213e-10 -9.473177e-08 -1.222627e-09)
500           	(2.221534e-10 -9.467921e-08 -1.059331e-09)
520           	(2.619167e-10 -9.440737e-08 -9.174808e-10)
540           	(3.055138e-10 -9.395688e-08 -7.876883e-10)
560           	(3.536181e-10 -9.336151e-08 -6.605020e-10)
580           	(4.056603e-10 -9.264795e-08 -5.272665e-10)
600           	(4.576629e-10 -9.183269e-08 -3.834794e-10)
620           	(5.047048e-10 -9.091936e-08 -2.285551e-10)
640           	(5.402376e-10 -8.989436e-08 -6.825534e-11)
660           	(5.554576e-10 -8.872260e-08 8.588955e-11)
680           	(5.428030e-10 -8.734915e-08 2.142433e-10)
700           	(5.101496e-10 -8.573405e-08 3.005890e-10)
720           	(4.731624e-10 -8.389048e-08 3.467655e-10)
740           	(4.407760e-10 -8.187650e-08 3.686792e-10)
760           	(4.135882e-10 -7.975373e-08 3.753579e-10)
780           	(3.926038e-10 -7.757270e-08 3.720972e-10)
800           	(3.780144e-10 -7.537254e-08 3.621857e-10)
820           	(3.679720e-10 -7.317946e-08 3.484721e-10)
840           	(3.614206e-10 -7.100791e-08 3.318077e-10)
860           	(3.574935e-10 -6.886517e-08 3.146433e-10)
880           	(3.552145e-10 -6.675255e-08 2.975269e-10)
900           	(3.541358e-10 -6.466805e-08 2.809263e-10)
920           	(3.537585e-10 -6.260858e-08 2.655209e-10)
940           	(3.537525e-10 -6.056985e-08 2.521614e-10)
960           	(3.537003e-10 -5.854692e-08 2.409046e-10)
980           	(3.532545e-10 -5.653447e-08 2.308635e-10)
