# Region type : faceZone fz_solid_82
# Faces  :    1626
# Area   :    1.016930e-01
# Time        	sum(phi)
20            	-5.923720e-06
40            	1.475326e-05
60            	1.825102e-05
80            	1.602335e-05
100           	1.365429e-05
120           	1.042385e-05
140           	4.413276e-06
160           	-4.028253e-07
180           	-2.816895e-06
200           	-2.644065e-06
220           	1.285777e-06
240           	1.146677e-05
260           	2.776775e-05
280           	4.380887e-05
300           	5.436189e-05
320           	6.445074e-05
340           	7.389041e-05
360           	8.128274e-05
380           	8.310575e-05
400           	7.856720e-05
420           	6.884641e-05
440           	5.917952e-05
460           	4.894763e-05
480           	3.784084e-05
500           	2.803215e-05
520           	2.210779e-05
540           	1.795879e-05
560           	1.443546e-05
580           	1.084376e-05
600           	7.665197e-06
620           	5.278424e-06
640           	3.626013e-06
660           	2.062559e-06
680           	1.017736e-07
700           	-2.031441e-06
720           	-4.030558e-06
740           	-5.882214e-06
760           	-7.847854e-06
780           	-9.967181e-06
800           	-1.209192e-05
820           	-1.414333e-05
840           	-1.605561e-05
860           	-1.776220e-05
880           	-1.937517e-05
900           	-2.099803e-05
920           	-2.253688e-05
940           	-2.401578e-05
960           	-2.539221e-05
980           	-2.683471e-05
1000          	-2.825113e-05
1020          	-2.966526e-05
