# Region      : cellZone cz_solid_34
# Cells       : 1994
# Volume      : 2.145051e-03
# Time        	volIntegrate(U)
20            	(4.916506e-09 -1.482904e-08 3.537937e-09)
40            	(4.840650e-09 -2.519846e-08 3.902473e-09)
60            	(4.629971e-09 -3.381321e-08 4.128011e-09)
80            	(4.179807e-09 -4.055092e-08 4.228203e-09)
100           	(3.404533e-09 -4.513786e-08 4.135670e-09)
120           	(2.308855e-09 -4.730238e-08 3.748859e-09)
140           	(8.815026e-10 -4.680530e-08 2.777829e-09)
160           	(-3.666174e-10 -4.405375e-08 1.612703e-09)
180           	(-1.008063e-09 -4.027799e-08 5.913949e-10)
200           	(-1.301546e-09 -3.640985e-08 -2.440434e-10)
220           	(-1.375588e-09 -3.312752e-08 -7.992661e-10)
240           	(-1.335952e-09 -3.071732e-08 -1.114047e-09)
260           	(-1.243517e-09 -2.917988e-08 -1.270923e-09)
280           	(-1.130408e-09 -2.839518e-08 -1.330864e-09)
300           	(-1.007671e-09 -2.822350e-08 -1.325709e-09)
320           	(-8.793385e-10 -2.853317e-08 -1.273602e-09)
340           	(-7.506171e-10 -2.920476e-08 -1.192084e-09)
360           	(-6.215759e-10 -3.013089e-08 -1.092492e-09)
380           	(-4.931974e-10 -3.121389e-08 -9.846650e-10)
400           	(-3.653010e-10 -3.236900e-08 -8.751256e-10)
420           	(-2.379319e-10 -3.352150e-08 -7.684323e-10)
440           	(-1.104347e-10 -3.461115e-08 -6.664845e-10)
460           	(1.935181e-11 -3.558996e-08 -5.685112e-10)
480           	(1.527256e-10 -3.642260e-08 -4.726334e-10)
500           	(2.902238e-10 -3.708278e-08 -3.765403e-10)
520           	(4.311776e-10 -3.755552e-08 -2.770178e-10)
540           	(5.707084e-10 -3.783394e-08 -1.727649e-10)
560           	(7.007977e-10 -3.791911e-08 -6.328315e-11)
580           	(8.095040e-10 -3.783241e-08 5.391890e-11)
600           	(8.794249e-10 -3.762558e-08 1.806614e-10)
620           	(9.030037e-10 -3.736554e-08 3.104687e-10)
640           	(8.903628e-10 -3.713210e-08 4.221853e-10)
660           	(8.639757e-10 -3.701669e-08 4.946175e-10)
680           	(8.423718e-10 -3.709159e-08 5.277004e-10)
700           	(8.299864e-10 -3.738407e-08 5.365004e-10)
720           	(8.238365e-10 -3.788342e-08 5.345348e-10)
740           	(8.204828e-10 -3.855730e-08 5.288173e-10)
760           	(8.172938e-10 -3.936812e-08 5.217522e-10)
780           	(8.125529e-10 -4.028012e-08 5.144378e-10)
800           	(8.053097e-10 -4.126168e-08 5.066913e-10)
820           	(7.954096e-10 -4.228635e-08 4.982394e-10)
840           	(7.829710e-10 -4.333191e-08 4.888366e-10)
860           	(7.682861e-10 -4.438022e-08 4.783360e-10)
880           	(7.516947e-10 -4.541732e-08 4.667581e-10)
900           	(7.334821e-10 -4.643348e-08 4.539644e-10)
