# Region      : cellZone cz_solid_37
# Cells       : 2022
# Volume      : 2.139129e-03
# Time        	volIntegrate(U)
20            	(5.480647e-09 -1.069724e-08 -1.276946e-09)
40            	(4.585135e-09 -1.647167e-08 -7.806645e-10)
60            	(3.688686e-09 -1.976948e-08 -5.188653e-10)
80            	(2.825579e-09 -2.064696e-08 -4.039870e-10)
100           	(2.053815e-09 -1.967543e-08 -3.818872e-10)
120           	(1.397974e-09 -1.751786e-08 -4.036264e-10)
140           	(7.739931e-10 -1.471688e-08 -4.435242e-10)
160           	(4.157765e-10 -1.195109e-08 -4.908377e-10)
180           	(2.127519e-10 -9.400933e-09 -5.428284e-10)
200           	(1.080653e-10 -7.175685e-09 -5.894693e-10)
220           	(7.671369e-11 -5.285617e-09 -6.300122e-10)
240           	(8.968811e-11 -3.693000e-09 -6.629526e-10)
260           	(1.272486e-10 -2.328577e-09 -6.895716e-10)
280           	(1.752873e-10 -1.115174e-09 -7.095958e-10)
300           	(2.270057e-10 2.076338e-11 -7.226577e-10)
320           	(2.818874e-10 1.137529e-09 -7.306294e-10)
340           	(3.438585e-10 2.276963e-09 -7.351506e-10)
360           	(4.175268e-10 3.464283e-09 -7.378097e-10)
380           	(5.065254e-10 4.708574e-09 -7.358212e-10)
400           	(6.039582e-10 6.004315e-09 -7.190429e-10)
420           	(6.973969e-10 7.326136e-09 -6.760137e-10)
440           	(7.707488e-10 8.615476e-09 -6.120557e-10)
460           	(8.056056e-10 9.784862e-09 -5.548508e-10)
480           	(8.057944e-10 1.076285e-08 -5.264247e-10)
500           	(7.903765e-10 1.152987e-08 -5.221151e-10)
520           	(7.709957e-10 1.210608e-08 -5.257600e-10)
540           	(7.509362e-10 1.251976e-08 -5.275523e-10)
560           	(7.301069e-10 1.279738e-08 -5.242085e-10)
580           	(7.079200e-10 1.295830e-08 -5.157545e-10)
600           	(6.839664e-10 1.301695e-08 -5.034211e-10)
620           	(6.595993e-10 1.298202e-08 -4.888636e-10)
640           	(6.356274e-10 1.285888e-08 -4.732809e-10)
660           	(6.132153e-10 1.265303e-08 -4.577807e-10)
680           	(5.925755e-10 1.237454e-08 -4.429646e-10)
700           	(5.736556e-10 1.203763e-08 -4.291186e-10)
720           	(5.557207e-10 1.165892e-08 -4.163004e-10)
740           	(5.386740e-10 1.125445e-08 -4.046004e-10)
760           	(5.212454e-10 1.083913e-08 -3.935606e-10)
780           	(5.029596e-10 1.042505e-08 -3.830158e-10)
800           	(4.834505e-10 1.002132e-08 -3.728422e-10)
820           	(4.623961e-10 9.634761e-09 -3.628808e-10)
840           	(4.392014e-10 9.270547e-09 -3.528029e-10)
860           	(4.140496e-10 8.932140e-09 -3.424369e-10)
880           	(3.871569e-10 8.622514e-09 -3.318050e-10)
900           	(3.590640e-10 8.344893e-09 -3.208026e-10)
920           	(3.303730e-10 8.102472e-09 -3.094233e-10)
940           	(3.019098e-10 7.898052e-09 -2.976906e-10)
960           	(2.744380e-10 7.734107e-09 -2.857423e-10)
980           	(2.481108e-10 7.612777e-09 -2.732896e-10)
