# Region type : faceZone fz_solid_53
# Faces  :    1610
# Area   :    1.017541e-01
# Time        	sum(phi)
20            	1.657168e-05
40            	1.606509e-05
60            	1.234722e-05
80            	3.556937e-06
100           	-1.151048e-05
120           	-3.323713e-05
140           	-7.068894e-05
160           	-8.265092e-05
180           	-8.503330e-05
200           	-7.183779e-05
220           	-5.123262e-05
240           	-3.239218e-05
260           	-1.805051e-05
280           	-7.358572e-06
300           	4.733044e-07
320           	5.963093e-06
340           	9.622023e-06
360           	1.191429e-05
380           	1.353726e-05
400           	1.462176e-05
420           	1.555859e-05
440           	1.617767e-05
460           	1.684284e-05
480           	1.745254e-05
500           	1.797697e-05
520           	1.859921e-05
540           	1.926733e-05
560           	1.997983e-05
580           	2.076942e-05
600           	2.166832e-05
620           	2.268670e-05
640           	2.387453e-05
660           	2.517659e-05
680           	2.639015e-05
700           	2.727112e-05
720           	2.783305e-05
740           	2.831078e-05
760           	2.885870e-05
780           	2.950615e-05
800           	3.016251e-05
820           	3.080705e-05
840           	3.137747e-05
860           	3.190572e-05
880           	3.238587e-05
900           	3.281254e-05
920           	3.322937e-05
940           	3.359416e-05
960           	3.397404e-05
980           	3.433612e-05
1000          	3.465781e-05
