# Region      : cellZone cz_solid_74
# Cells       : 1891
# Volume      : 2.144416e-03
# Time        	volIntegrateU
20            	6.466577e-09 -1.541236e-08 2.829221e-09
40            	7.328228e-09 -2.987019e-08 4.389410e-09
60            	7.193040e-09 -4.523505e-08 5.636081e-09
80            	5.293653e-09 -6.091828e-08 6.482811e-09
100           	1.361672e-09 -7.600280e-08 6.441330e-09
120           	-4.098750e-09 -8.937020e-08 4.874824e-09
140           	-9.174231e-09 -9.944447e-08 7.549262e-10
160           	-1.010375e-08 -1.044140e-07 -4.228018e-09
180           	-8.709978e-09 -1.065174e-07 -6.795225e-09
200           	-7.113630e-09 -1.061264e-07 -7.586728e-09
220           	-5.723688e-09 -1.040272e-07 -7.309081e-09
240           	-4.656589e-09 -1.008350e-07 -6.566052e-09
260           	-3.876116e-09 -9.693449e-08 -5.744793e-09
280           	-3.303214e-09 -9.254995e-08 -5.002812e-09
300           	-2.876403e-09 -8.781951e-08 -4.373046e-09
320           	-2.547887e-09 -8.282057e-08 -3.852330e-09
340           	-2.284561e-09 -7.759045e-08 -3.425050e-09
360           	-2.063756e-09 -7.214442e-08 -3.071571e-09
380           	-1.874836e-09 -6.649454e-08 -2.776310e-09
400           	-1.711137e-09 -6.065578e-08 -2.526497e-09
420           	-1.568698e-09 -5.465279e-08 -2.313084e-09
440           	-1.443238e-09 -4.851726e-08 -2.130183e-09
460           	-1.331617e-09 -4.228747e-08 -1.971706e-09
480           	-1.229735e-09 -3.600009e-08 -1.830630e-09
500           	-1.134447e-09 -2.968930e-08 -1.700771e-09
520           	-1.043708e-09 -2.338183e-08 -1.577417e-09
540           	-9.560280e-10 -1.709424e-08 -1.457132e-09
560           	-8.739736e-10 -1.083251e-08 -1.337626e-09
580           	-8.044252e-10 -4.586560e-09 -1.217513e-09
600           	-7.514629e-10 1.656541e-09 -1.095850e-09
620           	-7.193549e-10 7.895851e-09 -9.746853e-10
640           	-7.105335e-10 1.412367e-08 -8.632049e-10
660           	-7.223718e-10 2.032874e-08 -7.722298e-10
680           	-7.517068e-10 2.649223e-08 -7.035066e-10
700           	-7.916087e-10 3.259908e-08 -6.598908e-10
720           	-8.316986e-10 3.864208e-08 -6.365878e-10
740           	-8.685330e-10 4.462137e-08 -6.252167e-10
760           	-9.009190e-10 5.053988e-08 -6.193078e-10
780           	-9.289970e-10 5.640055e-08 -6.158254e-10
800           	-9.530530e-10 6.220474e-08 -6.130002e-10
820           	-9.740568e-10 6.795231e-08 -6.102877e-10
840           	-9.927214e-10 7.364207e-08 -6.080633e-10
860           	-1.009314e-09 7.927258e-08 -6.063362e-10
880           	-1.023733e-09 8.484291e-08 -6.047468e-10
900           	-1.035928e-09 9.035244e-08 -6.032824e-10
