# Region      : cellZone cz_solid_35
# Cells       : 2080
# Volume      : 2.143295e-03
# Time        	volIntegrate(U)
20            	(5.786786e-09 -1.509303e-08 2.077823e-09)
40            	(5.504174e-09 -2.501467e-08 2.394121e-09)
60            	(4.975951e-09 -3.247037e-08 2.566507e-09)
80            	(4.152259e-09 -3.715412e-08 2.593485e-09)
100           	(3.059107e-09 -3.888625e-08 2.397754e-09)
120           	(1.858011e-09 -3.790305e-08 1.939165e-09)
140           	(7.708756e-10 -3.487321e-08 1.289042e-09)
160           	(-2.726258e-10 -3.080836e-08 4.758364e-10)
180           	(-7.225611e-10 -2.674031e-08 -3.078757e-11)
200           	(-9.335439e-10 -2.322073e-08 -3.808153e-10)
220           	(-9.932663e-10 -2.047022e-08 -6.038596e-10)
240           	(-9.605268e-10 -1.849276e-08 -7.350731e-10)
260           	(-8.775294e-10 -1.718710e-08 -8.045578e-10)
280           	(-7.740726e-10 -1.642217e-08 -8.330519e-10)
300           	(-6.614675e-10 -1.607773e-08 -8.336343e-10)
320           	(-5.446803e-10 -1.604915e-08 -8.140372e-10)
340           	(-4.288646e-10 -1.624632e-08 -7.823294e-10)
360           	(-3.119010e-10 -1.659108e-08 -7.425223e-10)
380           	(-1.924849e-10 -1.701016e-08 -6.980634e-10)
400           	(-6.847806e-11 -1.743737e-08 -6.511284e-10)
420           	(6.108100e-11 -1.781088e-08 -6.032633e-10)
440           	(1.971655e-10 -1.807989e-08 -5.547903e-10)
460           	(3.410752e-10 -1.820493e-08 -5.045121e-10)
480           	(4.912646e-10 -1.816084e-08 -4.505332e-10)
500           	(6.431125e-10 -1.793749e-08 -3.898714e-10)
520           	(7.872802e-10 -1.754961e-08 -3.166375e-10)
540           	(9.046899e-10 -1.704498e-08 -2.216906e-10)
560           	(9.757463e-10 -1.649771e-08 -1.028842e-10)
580           	(9.979604e-10 -1.599621e-08 1.793980e-11)
600           	(9.843585e-10 -1.564321e-08 1.071905e-10)
620           	(9.550602e-10 -1.551802e-08 1.523089e-10)
640           	(9.250654e-10 -1.564862e-08 1.639088e-10)
660           	(9.006676e-10 -1.601982e-08 1.589258e-10)
680           	(8.823214e-10 -1.659497e-08 1.492696e-10)
700           	(8.677316e-10 -1.733172e-08 1.399242e-10)
720           	(8.548945e-10 -1.819037e-08 1.320891e-10)
740           	(8.425870e-10 -1.913495e-08 1.259066e-10)
760           	(8.297639e-10 -2.013548e-08 1.210047e-10)
780           	(8.157145e-10 -2.116747e-08 1.169386e-10)
800           	(7.997240e-10 -2.221032e-08 1.131447e-10)
820           	(7.816792e-10 -2.324732e-08 1.090868e-10)
840           	(7.614830e-10 -2.426517e-08 1.044332e-10)
860           	(7.392478e-10 -2.525388e-08 9.909290e-11)
880           	(7.151071e-10 -2.620660e-08 9.305045e-11)
900           	(6.891720e-10 -2.711941e-08 8.636594e-11)
