# Region      : cellZone cz_solid_60
# Cells       : 2100
# Volume      : 2.141911e-03
# Time        	volIntegrateU
20            	-1.992607e-10 -5.147283e-09 5.352628e-10
40            	-9.583149e-10 -6.424680e-09 1.190873e-09
60            	-1.219953e-09 -6.107819e-09 1.283840e-09
80            	-1.251348e-09 -4.857553e-09 1.119528e-09
100           	-1.196026e-09 -3.239325e-09 8.753475e-10
120           	-1.135615e-09 -1.610671e-09 6.808692e-10
140           	-1.054751e-09 -2.367387e-10 5.162548e-10
160           	-1.009562e-09 8.903674e-10 3.552578e-10
180           	-9.598887e-10 1.709374e-09 2.300973e-10
200           	-9.107467e-10 2.206579e-09 1.207398e-10
220           	-8.624762e-10 2.408072e-09 1.706517e-11
240           	-8.152200e-10 2.367486e-09 -8.132416e-11
260           	-7.712680e-10 2.156360e-09 -1.656431e-10
280           	-7.296301e-10 1.849439e-09 -2.264023e-10
300           	-6.892019e-10 1.516453e-09 -2.569470e-10
320           	-6.474562e-10 1.211467e-09 -2.586130e-10
340           	-6.058415e-10 9.678051e-10 -2.375164e-10
360           	-5.669901e-10 8.056057e-10 -2.002267e-10
380           	-5.335400e-10 7.471759e-10 -1.484209e-10
400           	-5.065496e-10 8.173656e-10 -7.990909e-11
420           	-4.855965e-10 1.033666e-09 9.368896e-12
440           	-4.680519e-10 1.395790e-09 1.244957e-10
460           	-4.522815e-10 1.879018e-09 2.643982e-10
480           	-4.427076e-10 2.436933e-09 4.185824e-10
500           	-4.441121e-10 3.014143e-09 5.721302e-10
520           	-4.572708e-10 3.566648e-09 7.113170e-10
540           	-4.795683e-10 4.076164e-09 8.269789e-10
560           	-5.057033e-10 4.547837e-09 9.157998e-10
580           	-5.309669e-10 4.997194e-09 9.801270e-10
600           	-5.530032e-10 5.441852e-09 1.024329e-09
620           	-5.708491e-10 5.898119e-09 1.053500e-09
640           	-5.846287e-10 6.379385e-09 1.071855e-09
660           	-5.948373e-10 6.894068e-09 1.081725e-09
680           	-6.019420e-10 7.444385e-09 1.084267e-09
700           	-6.059601e-10 8.027411e-09 1.079743e-09
720           	-6.068717e-10 8.637228e-09 1.068545e-09
740           	-6.050079e-10 9.267468e-09 1.051838e-09
760           	-6.008150e-10 9.912215e-09 1.030852e-09
780           	-5.950350e-10 1.056639e-08 1.006687e-09
800           	-5.883934e-10 1.122485e-08 9.801117e-10
820           	-5.815953e-10 1.188282e-08 9.522825e-10
840           	-5.752093e-10 1.253617e-08 9.248502e-10
860           	-5.696580e-10 1.318202e-08 8.998209e-10
880           	-5.650908e-10 1.381994e-08 8.789210e-10
900           	-5.615071e-10 1.445137e-08 8.628904e-10
920           	-5.590251e-10 1.507811e-08 8.517360e-10
940           	-5.576795e-10 1.570078e-08 8.445560e-10
960           	-5.573401e-10 1.631894e-08 8.401262e-10
980           	-5.578223e-10 1.693230e-08 8.372615e-10
1000          	-5.589444e-10 1.754146e-08 8.352172e-10
