# Region type : faceZone fz_solid_50
# Faces  :    1902
# Area   :    1.017419e-01
# Time        	sum(phi)
20            	1.361531e-05
40            	1.372699e-05
60            	1.417564e-05
80            	1.525042e-05
100           	1.711544e-05
120           	1.956670e-05
140           	2.364321e-05
160           	2.375493e-05
180           	2.300084e-05
200           	1.962505e-05
220           	1.444406e-05
240           	9.730376e-06
260           	8.956072e-06
280           	1.476198e-05
300           	2.432485e-05
320           	3.341685e-05
340           	3.921136e-05
360           	4.211703e-05
380           	4.306583e-05
400           	4.289922e-05
420           	4.192144e-05
440           	4.019612e-05
460           	3.792846e-05
480           	3.534671e-05
500           	3.269796e-05
520           	3.019573e-05
540           	2.798358e-05
560           	2.610854e-05
580           	2.450568e-05
600           	2.309907e-05
620           	2.182396e-05
640           	2.049776e-05
660           	1.901991e-05
680           	1.714780e-05
700           	1.484220e-05
720           	1.193354e-05
740           	8.466496e-06
760           	5.148156e-06
780           	2.776866e-06
800           	1.140730e-06
820           	-1.306978e-07
840           	-9.449022e-07
860           	-1.396028e-06
880           	-1.651749e-06
900           	-1.856988e-06
920           	-2.088079e-06
940           	-2.370260e-06
960           	-2.766778e-06
980           	-3.231424e-06
1000          	-3.822045e-06
1020          	-4.530678e-06
1040          	-5.346715e-06
1060          	-6.274387e-06
1080          	-7.308274e-06
1100          	-8.449891e-06
1120          	-9.693363e-06
1140          	-1.103652e-05
1160          	-1.252227e-05
1180          	-1.423528e-05
1200          	-1.616517e-05
1220          	-1.820603e-05
1240          	-2.066442e-05
1260          	-2.341678e-05
1280          	-2.518459e-05
1300          	-2.788583e-05
1320          	-3.415359e-05
1340          	-3.359141e-05
1360          	2.024209e-05
1380          	4.555458e-04
1400          	2.757442e-03
1420          	6.660206e-03
1440          	1.407463e-02
1460          	3.853430e-02
1480          	7.670775e-02
1500          	1.793552e-01
