# Region type : faceZone fz_solid_54
# Faces  :    1736
# Area   :    1.017123e-01
# Time        	sum(phi)
20            	4.109049e-05
40            	3.096336e-05
60            	8.687622e-06
80            	-2.385758e-05
100           	-6.286443e-05
120           	-9.058613e-05
140           	-8.588529e-05
160           	-6.514092e-05
180           	-4.245578e-05
200           	-2.837799e-05
220           	-1.906400e-05
240           	-1.165668e-05
260           	-5.997956e-06
280           	-1.658866e-06
300           	1.741638e-06
320           	4.353398e-06
340           	6.598292e-06
360           	8.581688e-06
380           	1.036558e-05
400           	1.201090e-05
420           	1.350356e-05
440           	1.488656e-05
460           	1.615567e-05
480           	1.734875e-05
500           	1.844843e-05
520           	1.953379e-05
540           	2.051747e-05
560           	2.132356e-05
580           	2.181240e-05
600           	2.188443e-05
620           	2.169554e-05
640           	2.159808e-05
660           	2.174117e-05
680           	2.203409e-05
700           	2.237680e-05
720           	2.267745e-05
740           	2.292885e-05
760           	2.307009e-05
780           	2.312910e-05
800           	2.309906e-05
820           	2.301185e-05
840           	2.286422e-05
860           	2.272191e-05
880           	2.256365e-05
900           	2.244525e-05
920           	2.235049e-05
940           	2.231990e-05
960           	2.237271e-05
980           	2.250297e-05
