# Region type : faceZone fz_solid_7
# Faces  :    1725
# Area   :    1.017246e-01
# Time        	sum(phi)
20            	-1.039440e-04
40            	-1.171065e-04
60            	-1.300058e-04
80            	-1.420610e-04
100           	-1.532337e-04
120           	-1.635645e-04
140           	-1.725623e-04
160           	-1.852344e-04
180           	-1.974072e-04
200           	-2.100685e-04
220           	-2.248194e-04
240           	-2.430458e-04
260           	-2.647050e-04
280           	-2.881659e-04
300           	-3.112648e-04
320           	-3.298691e-04
340           	-3.399601e-04
360           	-3.413666e-04
380           	-3.347450e-04
400           	-3.223730e-04
420           	-3.067135e-04
440           	-2.897410e-04
460           	-2.729596e-04
480           	-2.580482e-04
500           	-2.456364e-04
520           	-2.357690e-04
540           	-2.278812e-04
560           	-2.213380e-04
580           	-2.155621e-04
600           	-2.103483e-04
620           	-2.055157e-04
640           	-2.007096e-04
660           	-1.958352e-04
680           	-1.907181e-04
700           	-1.851353e-04
720           	-1.788500e-04
740           	-1.716948e-04
760           	-1.634658e-04
780           	-1.542493e-04
800           	-1.452514e-04
820           	-1.355798e-04
840           	-1.251351e-04
860           	-1.139075e-04
880           	-1.022252e-04
900           	-8.973221e-05
920           	-7.601723e-05
940           	-6.317138e-05
960           	-4.726131e-05
980           	-3.639677e-05
1000          	-3.718648e-05
1020          	-4.849445e-05
1040          	-6.027303e-05
1060          	-7.733927e-05
1080          	-9.842020e-05
1100          	-1.164064e-04
1120          	-1.251844e-04
1140          	-1.265711e-04
1160          	-1.231683e-04
1180          	-1.170037e-04
1200          	-1.084793e-04
1220          	-9.779952e-05
1240          	-8.377655e-05
1260          	-6.909940e-05
1280          	-4.504173e-05
1300          	-2.606272e-05
1320          	3.583450e-06
1340          	1.872153e-04
1360          	-1.594939e-04
1380          	9.255056e-04
1400          	1.111288e-02
1420          	1.947925e-02
1440          	4.143353e-02
1460          	8.811404e-02
1480          	1.733481e-01
1500          	3.851785e-01
