# Region      : cellZone cz_solid_17
# Cells       : 2319
# Volume      : 2.145407e-03
# Time        	volIntegrate(U)
20            	(7.107896e-09 -6.521758e-09 -2.226484e-09)
40            	(6.108078e-09 -1.084479e-08 -1.674623e-09)
60            	(5.368737e-09 -1.414756e-08 -1.310030e-09)
80            	(4.675605e-09 -1.652683e-08 -1.015794e-09)
100           	(4.018916e-09 -1.807742e-08 -7.970827e-10)
120           	(3.388685e-09 -1.888540e-08 -6.429944e-10)
140           	(2.795336e-09 -1.905393e-08 -5.415615e-10)
160           	(2.238655e-09 -1.876563e-08 -4.733304e-10)
180           	(1.694192e-09 -1.813080e-08 -4.426578e-10)
200           	(1.330827e-09 -1.731116e-08 -4.461179e-10)
220           	(1.069665e-09 -1.646609e-08 -4.715707e-10)
240           	(8.949681e-10 -1.570708e-08 -5.157451e-10)
260           	(7.808300e-10 -1.507534e-08 -5.720235e-10)
280           	(7.026484e-10 -1.453623e-08 -6.295448e-10)
300           	(6.426491e-10 -1.400384e-08 -6.800085e-10)
320           	(5.982319e-10 -1.338183e-08 -7.247649e-10)
340           	(5.654291e-10 -1.257823e-08 -7.601372e-10)
360           	(5.523982e-10 -1.150310e-08 -7.854149e-10)
380           	(5.545298e-10 -1.007389e-08 -7.840427e-10)
400           	(5.765282e-10 -8.241394e-09 -7.186584e-10)
420           	(5.938380e-10 -5.978038e-09 -5.797289e-10)
440           	(5.768830e-10 -3.331296e-09 -4.301462e-10)
460           	(5.169046e-10 -5.381933e-10 -3.337193e-10)
480           	(4.485131e-10 2.170100e-09 -3.031179e-10)
500           	(3.994848e-10 4.704457e-09 -3.074369e-10)
520           	(3.928582e-10 7.059291e-09 -3.243844e-10)
540           	(4.240099e-10 9.251319e-09 -3.466974e-10)
560           	(4.707574e-10 1.127748e-08 -3.741758e-10)
580           	(5.153194e-10 1.311506e-08 -4.083508e-10)
600           	(5.495953e-10 1.476611e-08 -4.432344e-10)
620           	(5.807967e-10 1.624959e-08 -4.722500e-10)
640           	(6.081245e-10 1.758478e-08 -4.928406e-10)
660           	(6.301513e-10 1.879558e-08 -5.043783e-10)
680           	(6.457842e-10 1.990035e-08 -5.082626e-10)
700           	(6.561681e-10 2.091196e-08 -5.064522e-10)
720           	(6.617782e-10 2.183934e-08 -5.006298e-10)
740           	(6.614868e-10 2.268937e-08 -4.923385e-10)
760           	(6.547324e-10 2.346950e-08 -4.827650e-10)
780           	(6.416024e-10 2.418722e-08 -4.726895e-10)
800           	(6.227820e-10 2.485050e-08 -4.623928e-10)
820           	(5.993687e-10 2.546775e-08 -4.520887e-10)
840           	(5.724753e-10 2.604781e-08 -4.420791e-10)
860           	(5.434168e-10 2.659911e-08 -4.326396e-10)
880           	(5.129063e-10 2.712952e-08 -4.236785e-10)
900           	(4.818889e-10 2.764615e-08 -4.150224e-10)
920           	(4.504502e-10 2.815555e-08 -4.063047e-10)
940           	(4.190023e-10 2.866385e-08 -3.973694e-10)
960           	(3.876188e-10 2.917783e-08 -3.882619e-10)
980           	(3.564778e-10 2.970570e-08 -3.786318e-10)
1000          	(3.260164e-10 3.025833e-08 -3.679669e-10)
1020          	(2.970672e-10 3.084708e-08 -3.552055e-10)
1040          	(2.707519e-10 3.148334e-08 -3.395244e-10)
1060          	(2.486064e-10 3.217628e-08 -3.220711e-10)
1080          	(2.304252e-10 3.292645e-08 -3.048503e-10)
1100          	(2.153946e-10 3.373053e-08 -2.895011e-10)
1120          	(2.025817e-10 3.458438e-08 -2.768501e-10)
1140          	(1.917217e-10 3.548118e-08 -2.667132e-10)
1160          	(1.836073e-10 3.641008e-08 -2.596142e-10)
1180          	(1.770824e-10 3.736033e-08 -2.572770e-10)
1200          	(1.695563e-10 3.832705e-08 -2.596530e-10)
1220          	(1.596381e-10 3.930915e-08 -2.654397e-10)
1240          	(1.459511e-10 4.030850e-08 -2.734634e-10)
1260          	(1.299883e-10 4.133210e-08 -2.828088e-10)
1280          	(1.184758e-10 4.238533e-08 -2.920382e-10)
1300          	(8.804211e-11 4.348446e-08 -3.083599e-10)
1320          	(1.114973e-10 4.464367e-08 -3.487049e-10)
1340          	(-1.054893e-11 4.649577e-08 -4.673987e-10)
1360          	(-1.390177e-08 6.828320e-08 8.213305e-09)
1380          	(-2.879506e-07 -1.451869e-07 2.749302e-07)
1400          	(-1.920343e-06 -4.191567e-06 1.690264e-06)
1420          	(-1.197930e-05 -3.093606e-05 1.214232e-05)
1440          	(-7.514999e-05 -1.878182e-04 7.979397e-05)
