# Region      : cellZone cz_solid_29
# Cells       : 2080
# Volume      : 2.143742e-03
# Time        	volIntegrateU
20            	-1.896287e-09 -9.649057e-09 3.386567e-09
40            	-2.139833e-09 -1.670749e-08 3.804238e-09
60            	-2.418014e-09 -2.315635e-08 4.236080e-09
80            	-2.710022e-09 -2.918599e-08 4.669130e-09
100           	-3.004491e-09 -3.502088e-08 5.081622e-09
120           	-3.288856e-09 -4.088455e-08 5.444959e-09
140           	-3.688476e-09 -4.716174e-08 5.767385e-09
160           	-4.016916e-09 -5.409440e-08 6.082036e-09
180           	-4.244022e-09 -6.139456e-08 6.154825e-09
200           	-4.415093e-09 -6.910801e-08 6.057734e-09
220           	-4.494975e-09 -7.710296e-08 5.765987e-09
240           	-4.443911e-09 -8.521342e-08 5.268048e-09
260           	-4.242876e-09 -9.329651e-08 4.587237e-09
280           	-3.906232e-09 -1.012732e-07 3.757549e-09
300           	-3.439150e-09 -1.091684e-07 2.864837e-09
320           	-2.845835e-09 -1.171242e-07 2.064297e-09
340           	-2.198511e-09 -1.253129e-07 1.488915e-09
360           	-1.615739e-09 -1.337958e-07 1.162552e-09
380           	-1.180123e-09 -1.424944e-07 1.023645e-09
400           	-9.042377e-10 -1.512684e-07 9.954433e-10
420           	-7.527509e-10 -1.599849e-07 1.021777e-09
440           	-6.817163e-10 -1.685490e-07 1.073528e-09
460           	-6.575045e-10 -1.769000e-07 1.134606e-09
480           	-6.586265e-10 -1.850030e-07 1.193888e-09
500           	-6.709063e-10 -1.928403e-07 1.242476e-09
520           	-6.846234e-10 -2.004097e-07 1.274747e-09
540           	-6.925638e-10 -2.077177e-07 1.286990e-09
560           	-6.893027e-10 -2.147772e-07 1.278987e-09
580           	-6.717328e-10 -2.216027e-07 1.253935e-09
600           	-6.388674e-10 -2.282047e-07 1.216841e-09
620           	-5.918731e-10 -2.345865e-07 1.174267e-09
640           	-5.337151e-10 -2.407415e-07 1.134432e-09
660           	-4.688361e-10 -2.466522e-07 1.105282e-09
680           	-4.033037e-10 -2.522905e-07 1.091745e-09
700           	-3.435552e-10 -2.576226e-07 1.094712e-09
720           	-2.943911e-10 -2.626173e-07 1.110967e-09
740           	-2.566422e-10 -2.672559e-07 1.134459e-09
760           	-2.257123e-10 -2.715375e-07 1.159419e-09
780           	-1.946195e-10 -2.754763e-07 1.184887e-09
800           	-1.618440e-10 -2.790871e-07 1.211155e-09
820           	-1.307629e-10 -2.823734e-07 1.234473e-09
840           	-1.012737e-10 -2.853285e-07 1.250219e-09
860           	-6.886595e-11 -2.879489e-07 1.259628e-09
880           	-3.357182e-11 -2.902401e-07 1.267199e-09
900           	1.862538e-12 -2.922147e-07 1.275552e-09
920           	3.117277e-11 -2.938882e-07 1.281274e-09
940           	5.518436e-11 -2.952839e-07 1.279075e-09
960           	7.638463e-11 -2.964385e-07 1.264653e-09
980           	9.814927e-11 -2.974091e-07 1.236963e-09
1000          	1.252151e-10 -2.982769e-07 1.200402e-09
