# Region type : faceZone fz_solid_29
# Faces  :    1652
# Area   :    1.016869e-01
# Time        	sum(phi)
20            	5.628836e-05
40            	6.329478e-05
60            	7.186887e-05
80            	8.059727e-05
100           	8.978302e-05
120           	9.945344e-05
140           	1.099667e-04
160           	1.247434e-04
180           	1.360623e-04
200           	1.457985e-04
220           	1.529202e-04
240           	1.553877e-04
260           	1.512804e-04
280           	1.401376e-04
300           	1.244500e-04
320           	1.073569e-04
340           	9.031637e-05
360           	7.421622e-05
380           	6.122601e-05
400           	5.231381e-05
420           	4.686241e-05
440           	4.363951e-05
460           	4.165344e-05
480           	4.028789e-05
500           	3.920522e-05
520           	3.832652e-05
540           	3.755864e-05
560           	3.681566e-05
580           	3.608583e-05
600           	3.536103e-05
620           	3.447273e-05
640           	3.358913e-05
660           	3.279696e-05
680           	3.226487e-05
700           	3.214833e-05
720           	3.275569e-05
740           	3.414630e-05
760           	3.646135e-05
780           	3.967429e-05
800           	4.316628e-05
820           	4.592309e-05
840           	4.733502e-05
860           	4.771366e-05
880           	4.768937e-05
900           	4.745793e-05
920           	4.731700e-05
940           	4.781703e-05
960           	4.934545e-05
980           	5.266224e-05
1000          	5.889107e-05
1020          	6.833189e-05
1040          	7.903863e-05
1060          	8.781602e-05
1080          	9.352665e-05
1100          	9.594117e-05
