# Region type : faceZone fz_solid_75
# Faces  :    1654
# Area   :    1.017214e-01
# Time        	sum(phi)
20            	6.922247e-05
40            	6.362967e-05
60            	2.803902e-05
80            	5.414381e-06
100           	1.189407e-05
120           	-1.280784e-05
140           	-7.107371e-05
160           	-9.338010e-05
180           	-1.020278e-04
200           	-1.059399e-04
220           	-1.057242e-04
240           	-1.030298e-04
260           	-9.911209e-05
280           	-9.480876e-05
300           	-9.047514e-05
320           	-8.621811e-05
340           	-8.212192e-05
360           	-7.816288e-05
380           	-7.434653e-05
400           	-7.067783e-05
420           	-6.724114e-05
440           	-6.400486e-05
460           	-6.108541e-05
480           	-5.859384e-05
500           	-5.656540e-05
520           	-5.501554e-05
540           	-5.390344e-05
560           	-5.295653e-05
580           	-5.199321e-05
600           	-5.133372e-05
620           	-5.149946e-05
640           	-5.268537e-05
660           	-5.450411e-05
680           	-5.668513e-05
700           	-5.920705e-05
720           	-6.191020e-05
740           	-6.482378e-05
760           	-6.798828e-05
780           	-7.127368e-05
800           	-7.466599e-05
820           	-7.814893e-05
840           	-8.163884e-05
860           	-8.516019e-05
880           	-8.872942e-05
900           	-9.230251e-05
920           	-9.584480e-05
940           	-9.956673e-05
960           	-1.037070e-04
980           	-1.086658e-04
1000          	-1.146945e-04
1020          	-1.207537e-04
