# Region      : cellZone cz_solid_72
# Cells       : 2135
# Volume      : 2.143505e-03
# Time        	volIntegrate(U)
20            	(2.710646e-09 -7.748590e-09 4.150563e-09)
40            	(3.019639e-09 -1.470186e-08 5.648455e-09)
60            	(3.233569e-09 -2.232488e-08 6.902459e-09)
80            	(3.171014e-09 -3.059173e-08 7.859175e-09)
100           	(2.677400e-09 -3.918161e-08 8.373094e-09)
120           	(1.583572e-09 -4.755004e-08 8.204534e-09)
140           	(-1.579068e-09 -5.546158e-08 6.177635e-09)
160           	(-3.115983e-09 -6.179406e-08 3.941211e-09)
180           	(-4.597413e-09 -6.723726e-08 7.723589e-10)
200           	(-4.559699e-09 -7.241358e-08 -2.309151e-09)
220           	(-3.484921e-09 -7.763020e-08 -4.176688e-09)
240           	(-2.402055e-09 -8.268555e-08 -4.928074e-09)
260           	(-1.592673e-09 -8.732847e-08 -5.102669e-09)
280           	(-9.864956e-10 -9.134772e-08 -5.006195e-09)
300           	(-4.993812e-10 -9.457806e-08 -4.735778e-09)
320           	(-1.100910e-10 -9.691167e-08 -4.321497e-09)
340           	(1.738822e-10 -9.828944e-08 -3.801975e-09)
360           	(3.618380e-10 -9.872249e-08 -3.240345e-09)
380           	(4.777507e-10 -9.829426e-08 -2.691964e-09)
400           	(5.443235e-10 -9.713523e-08 -2.195111e-09)
420           	(5.795165e-10 -9.539058e-08 -1.769074e-09)
440           	(5.984887e-10 -9.319842e-08 -1.417590e-09)
460           	(6.135638e-10 -9.067301e-08 -1.133374e-09)
480           	(6.339182e-10 -8.789779e-08 -9.010289e-10)
500           	(6.636738e-10 -8.492713e-08 -7.008866e-10)
520           	(7.019207e-10 -8.178507e-08 -5.158096e-10)
540           	(7.432881e-10 -7.847396e-08 -3.330472e-10)
560           	(7.794734e-10 -7.498194e-08 -1.468582e-10)
580           	(8.040762e-10 -7.128991e-08 4.329180e-11)
600           	(8.108572e-10 -6.737865e-08 2.307537e-10)
620           	(7.915600e-10 -6.324110e-08 4.069648e-10)
640           	(7.424804e-10 -5.891659e-08 5.551060e-10)
660           	(6.818038e-10 -5.448829e-08 6.696100e-10)
680           	(6.226374e-10 -5.001101e-08 7.524271e-10)
700           	(5.738583e-10 -4.550771e-08 7.978630e-10)
720           	(5.378448e-10 -4.099804e-08 8.091083e-10)
740           	(5.095026e-10 -3.649851e-08 7.976224e-10)
760           	(4.839056e-10 -3.201877e-08 7.710032e-10)
780           	(4.601027e-10 -2.756422e-08 7.343978e-10)
800           	(4.378103e-10 -2.314258e-08 6.937695e-10)
820           	(4.139593e-10 -1.876205e-08 6.519598e-10)
840           	(3.889725e-10 -1.442499e-08 6.084489e-10)
860           	(3.632504e-10 -1.013313e-08 5.645733e-10)
880           	(3.367662e-10 -5.889293e-09 5.208305e-10)
900           	(3.097075e-10 -1.696109e-09 4.784411e-10)
920           	(2.823518e-10 2.445307e-09 4.388685e-10)
940           	(2.550529e-10 6.534964e-09 4.035497e-10)
960           	(2.279531e-10 1.057457e-08 3.734110e-10)
980           	(2.008261e-10 1.456671e-08 3.478961e-10)
1000          	(1.734948e-10 1.851448e-08 3.252603e-10)
1020          	(1.461261e-10 2.241940e-08 3.037252e-10)
1040          	(1.187724e-10 2.628067e-08 2.820763e-10)
1060          	(9.162330e-11 3.009503e-08 2.598342e-10)
1080          	(6.486285e-11 3.385791e-08 2.367774e-10)
1100          	(3.867266e-11 3.756516e-08 2.131996e-10)
1120          	(1.313670e-11 4.121511e-08 1.896628e-10)
1140          	(-1.175760e-11 4.480822e-08 1.668057e-10)
1160          	(-3.613765e-11 4.834581e-08 1.452432e-10)
1180          	(-6.023290e-11 5.182910e-08 1.249092e-10)
1200          	(-8.411681e-11 5.525905e-08 1.051449e-10)
