# Region type : faceZone fz_solid_60
# Faces  :    1654
# Area   :    1.017003e-01
# Time        	sum(phi)
20            	-3.991766e-06
40            	-7.585247e-06
60            	-8.371033e-06
80            	-6.744059e-06
100           	-4.681981e-06
120           	-2.624637e-06
140           	-1.073614e-06
160           	-9.625357e-07
180           	-8.393514e-07
200           	-1.008262e-06
220           	-1.237575e-06
240           	-1.408465e-06
260           	-1.474253e-06
280           	-1.532993e-06
300           	-1.813743e-06
320           	-2.490244e-06
340           	-3.374740e-06
360           	-4.417746e-06
380           	-5.560529e-06
400           	-7.120970e-06
420           	-9.034979e-06
440           	-1.121869e-05
460           	-1.334576e-05
480           	-1.486458e-05
500           	-1.541706e-05
520           	-1.440264e-05
540           	-1.113239e-05
560           	-6.453645e-06
580           	-1.903861e-06
600           	1.921013e-06
620           	4.813071e-06
640           	6.762608e-06
660           	7.680939e-06
680           	7.279126e-06
700           	5.300462e-06
720           	1.164089e-06
740           	-5.529969e-06
760           	-1.469370e-05
780           	-2.595683e-05
800           	-3.857059e-05
820           	-5.171136e-05
840           	-6.432946e-05
860           	-7.536549e-05
880           	-8.431277e-05
900           	-9.104879e-05
