# Region      : cellZone cz_solid_9
# Cells       : 2058
# Volume      : 2.143284e-03
# Time        	volIntegrate(U)
20            	(-1.887402e-09 -3.780557e-09 3.141420e-09)
40            	(-1.842049e-09 -6.783221e-09 3.201888e-09)
60            	(-1.963019e-09 -9.806936e-09 3.482436e-09)
80            	(-2.107168e-09 -1.296332e-08 3.799980e-09)
100           	(-2.266628e-09 -1.636555e-08 4.128558e-09)
120           	(-2.439124e-09 -2.009348e-08 4.448273e-09)
140           	(-2.615466e-09 -2.421383e-08 4.667651e-09)
160           	(-2.894342e-09 -2.877666e-08 5.028313e-09)
180           	(-3.129823e-09 -3.380118e-08 5.240695e-09)
200           	(-3.359395e-09 -3.917421e-08 5.375258e-09)
220           	(-3.568350e-09 -4.477616e-08 5.416062e-09)
240           	(-3.741830e-09 -5.047045e-08 5.351946e-09)
260           	(-3.855844e-09 -5.612483e-08 5.172146e-09)
280           	(-3.882467e-09 -6.162145e-08 4.868556e-09)
300           	(-3.800706e-09 -6.684994e-08 4.430148e-09)
320           	(-3.600714e-09 -7.172810e-08 3.869832e-09)
340           	(-3.270610e-09 -7.629689e-08 3.254965e-09)
360           	(-2.838109e-09 -8.068765e-08 2.691034e-09)
380           	(-2.385070e-09 -8.491500e-08 2.238739e-09)
400           	(-1.998345e-09 -8.883698e-08 1.902443e-09)
420           	(-1.718821e-09 -9.232513e-08 1.663323e-09)
440           	(-1.537657e-09 -9.536928e-08 1.497984e-09)
460           	(-1.431150e-09 -9.805308e-08 1.387518e-09)
480           	(-1.371446e-09 -1.004878e-07 1.310977e-09)
500           	(-1.338219e-09 -1.027672e-07 1.252628e-09)
520           	(-1.318056e-09 -1.049552e-07 1.202659e-09)
540           	(-1.302741e-09 -1.070906e-07 1.156101e-09)
560           	(-1.287661e-09 -1.091946e-07 1.110693e-09)
580           	(-1.270515e-09 -1.112749e-07 1.065704e-09)
600           	(-1.250674e-09 -1.133304e-07 1.021496e-09)
620           	(-1.228469e-09 -1.153573e-07 9.786133e-10)
640           	(-1.204261e-09 -1.173511e-07 9.373082e-10)
