# Region type : faceZone fz_solid_11
# Faces  :    1870
# Area   :    1.018186e-01
# Time        	sum(phi)
20            	6.252671e-05
40            	6.223628e-05
60            	6.192670e-05
80            	6.051271e-05
100           	5.653685e-05
120           	4.847033e-05
140           	2.710167e-05
160           	5.951458e-07
180           	-3.798162e-05
200           	-9.166212e-05
220           	-1.531416e-04
240           	-2.153879e-04
260           	-2.725366e-04
280           	-3.220091e-04
300           	-3.572401e-04
320           	-3.713257e-04
340           	-3.669079e-04
360           	-3.464652e-04
380           	-3.144865e-04
400           	-2.756675e-04
420           	-2.354946e-04
440           	-1.986638e-04
460           	-1.670798e-04
480           	-1.406336e-04
500           	-1.183687e-04
520           	-9.991257e-05
540           	-8.457036e-05
560           	-7.143022e-05
580           	-5.924204e-05
600           	-4.716094e-05
620           	-3.407688e-05
640           	-1.967615e-05
660           	-5.245417e-06
680           	9.567282e-06
700           	2.643233e-05
720           	4.101851e-05
740           	5.050377e-05
760           	5.668958e-05
780           	4.851683e-05
800           	3.197426e-05
820           	2.830458e-05
840           	4.538229e-05
860           	5.605556e-05
880           	5.990755e-05
900           	6.391676e-05
920           	6.723315e-05
940           	7.021452e-05
960           	7.329292e-05
980           	7.666397e-05
1000          	8.010769e-05
1020          	8.284439e-05
1040          	8.569450e-05
1060          	8.792541e-05
1080          	9.021496e-05
1100          	9.263120e-05
1120          	9.493785e-05
1140          	9.739398e-05
1160          	1.001823e-04
1180          	1.033341e-04
1200          	1.055795e-04
1220          	1.093603e-04
1240          	1.134769e-04
1260          	1.160445e-04
1280          	1.393622e-04
1300          	1.205064e-04
1320          	9.858042e-05
1340          	4.442473e-05
1360          	5.104413e-05
1380          	2.262446e-03
1400          	5.525141e-03
1420          	9.638382e-03
1440          	6.660250e-03
1460          	4.102027e-02
1480          	7.806932e-02
1500          	2.098658e-01
