# Region      : cellZone cz_solid_21
# Cells       : 2192
# Volume      : 2.143960e-03
# Time        	volIntegrate(U)
20            	(3.027529e-10 -6.932298e-09 -2.648271e-09)
40            	(1.076484e-10 -1.075648e-08 -1.987294e-09)
60            	(-4.107172e-11 -1.332659e-08 -1.725874e-09)
80            	(-1.460423e-10 -1.483070e-08 -1.598837e-09)
100           	(-2.206925e-10 -1.566536e-08 -1.531681e-09)
120           	(-2.755666e-10 -1.613482e-08 -1.494637e-09)
140           	(-3.112570e-10 -1.644208e-08 -1.502348e-09)
160           	(-3.612855e-10 -1.671839e-08 -1.502339e-09)
180           	(-3.943646e-10 -1.703190e-08 -1.505660e-09)
200           	(-4.197564e-10 -1.742873e-08 -1.514567e-09)
220           	(-4.394357e-10 -1.793215e-08 -1.523275e-09)
240           	(-4.564910e-10 -1.856492e-08 -1.527656e-09)
260           	(-4.736944e-10 -1.934231e-08 -1.523250e-09)
280           	(-4.902869e-10 -2.026673e-08 -1.506589e-09)
300           	(-5.029213e-10 -2.132636e-08 -1.481136e-09)
320           	(-5.100153e-10 -2.249870e-08 -1.448043e-09)
340           	(-5.113806e-10 -2.376018e-08 -1.410751e-09)
360           	(-5.086204e-10 -2.508816e-08 -1.373087e-09)
380           	(-5.021527e-10 -2.645460e-08 -1.336006e-09)
400           	(-4.885238e-10 -2.782141e-08 -1.293847e-09)
420           	(-4.622911e-10 -2.914375e-08 -1.240293e-09)
440           	(-4.220308e-10 -3.038433e-08 -1.169672e-09)
460           	(-3.714162e-10 -3.151388e-08 -1.075837e-09)
480           	(-3.163233e-10 -3.251489e-08 -9.528802e-10)
500           	(-2.647579e-10 -3.338916e-08 -7.976007e-10)
520           	(-2.251935e-10 -3.416434e-08 -6.157029e-10)
540           	(-2.031266e-10 -3.488574e-08 -4.211080e-10)
560           	(-1.980177e-10 -3.560167e-08 -2.324861e-10)
580           	(-2.047084e-10 -3.634543e-08 -6.503992e-11)
600           	(-2.169681e-10 -3.713151e-08 7.237153e-11)
620           	(-2.298637e-10 -3.795949e-08 1.771810e-10)
640           	(-2.407602e-10 -3.881740e-08 2.521890e-10)
660           	(-2.492421e-10 -3.968646e-08 3.035397e-10)
680           	(-2.560417e-10 -4.054757e-08 3.382638e-10)
700           	(-2.618268e-10 -4.138619e-08 3.625220e-10)
720           	(-2.670220e-10 -4.219411e-08 3.809242e-10)
740           	(-2.719457e-10 -4.296837e-08 3.964516e-10)
760           	(-2.765658e-10 -4.370950e-08 4.105147e-10)
780           	(-2.808218e-10 -4.441961e-08 4.235703e-10)
800           	(-2.846621e-10 -4.510124e-08 4.353098e-10)
820           	(-2.879927e-10 -4.575604e-08 4.451616e-10)
840           	(-2.907301e-10 -4.638459e-08 4.523773e-10)
860           	(-2.929166e-10 -4.698611e-08 4.565773e-10)
880           	(-2.945322e-10 -4.755854e-08 4.578292e-10)
900           	(-2.956844e-10 -4.810001e-08 4.568097e-10)
920           	(-2.965065e-10 -4.860951e-08 4.549148e-10)
940           	(-2.971763e-10 -4.908819e-08 4.536648e-10)
960           	(-2.980696e-10 -4.953927e-08 4.542606e-10)
980           	(-2.994671e-10 -4.996703e-08 4.567008e-10)
1000          	(-3.012888e-10 -5.037528e-08 4.602438e-10)
