# Region      : cellZone cz_solid_94
# Cells       : 1916
# Volume      : 2.144877e-03
# Time        	volIntegrateU
20            	8.284795e-09 -6.404777e-09 2.228387e-09
40            	9.476094e-09 -1.167253e-08 3.825869e-09
60            	9.508965e-09 -1.595109e-08 4.943475e-09
80            	8.129736e-09 -1.952643e-08 5.089723e-09
100           	5.421492e-09 -2.334478e-08 4.144456e-09
120           	3.439791e-10 -2.806448e-08 2.686604e-09
140           	-6.290500e-09 -3.242359e-08 -2.185445e-09
160           	-6.699984e-09 -3.663534e-08 -5.428605e-09
180           	-5.888139e-09 -4.014003e-08 -6.844211e-09
200           	-4.898375e-09 -4.310760e-08 -6.615514e-09
220           	-4.133211e-09 -4.563170e-08 -5.936779e-09
240           	-3.601952e-09 -4.763351e-08 -5.316116e-09
260           	-3.239128e-09 -4.912068e-08 -4.823678e-09
280           	-2.995794e-09 -5.016786e-08 -4.432336e-09
300           	-2.834206e-09 -5.084382e-08 -4.117150e-09
320           	-2.725061e-09 -5.119001e-08 -3.860644e-09
340           	-2.648283e-09 -5.122550e-08 -3.647914e-09
360           	-2.591017e-09 -5.096122e-08 -3.466628e-09
380           	-2.549144e-09 -5.040866e-08 -3.308542e-09
400           	-2.518569e-09 -4.958313e-08 -3.165990e-09
420           	-2.493050e-09 -4.852239e-08 -3.034649e-09
440           	-2.468339e-09 -4.728264e-08 -2.913622e-09
460           	-2.440489e-09 -4.592324e-08 -2.802154e-09
480           	-2.405771e-09 -4.450036e-08 -2.699073e-09
500           	-2.361804e-09 -4.306736e-08 -2.604472e-09
520           	-2.319588e-09 -4.166339e-08 -2.514677e-09
540           	-2.291956e-09 -4.028278e-08 -2.439885e-09
560           	-2.279197e-09 -3.890292e-08 -2.376975e-09
580           	-2.283523e-09 -3.750997e-08 -2.316540e-09
600           	-2.320697e-09 -3.607203e-08 -2.256693e-09
620           	-2.379090e-09 -3.456040e-08 -2.207676e-09
640           	-2.446007e-09 -3.297866e-08 -2.156302e-09
660           	-2.508799e-09 -3.136500e-08 -2.099271e-09
680           	-2.567518e-09 -2.976613e-08 -2.038064e-09
700           	-2.620963e-09 -2.821147e-08 -1.979461e-09
720           	-2.666890e-09 -2.671347e-08 -1.925601e-09
740           	-2.703839e-09 -2.527538e-08 -1.876052e-09
760           	-2.732281e-09 -2.389440e-08 -1.830739e-09
780           	-2.753077e-09 -2.256425e-08 -1.789189e-09
800           	-2.767361e-09 -2.127778e-08 -1.751373e-09
820           	-2.775858e-09 -2.002820e-08 -1.717181e-09
840           	-2.778890e-09 -1.880921e-08 -1.686531e-09
860           	-2.777054e-09 -1.761552e-08 -1.659264e-09
880           	-2.771076e-09 -1.644229e-08 -1.635373e-09
900           	-2.761476e-09 -1.528563e-08 -1.614910e-09
920           	-2.748435e-09 -1.414230e-08 -1.597887e-09
940           	-2.732215e-09 -1.301068e-08 -1.584498e-09
960           	-2.712484e-09 -1.189268e-08 -1.575572e-09
980           	-2.688932e-09 -1.079791e-08 -1.572973e-09
1000          	-2.662236e-09 -9.747865e-09 -1.578767e-09
1020          	-2.634415e-09 -8.768704e-09 -1.591847e-09
