# Region      : cellZone cz_solid_67
# Cells       : 2037
# Volume      : 2.143555e-03
# Time        	volIntegrate(U)
20            	(-9.157372e-10 -3.687286e-09 8.898777e-10)
40            	(-1.695738e-09 -6.549946e-09 1.342708e-09)
60            	(-2.451893e-09 -9.295799e-09 1.763796e-09)
80            	(-3.223183e-09 -1.198634e-08 2.197577e-09)
100           	(-3.971079e-09 -1.487800e-08 2.633737e-09)
120           	(-4.677460e-09 -1.820531e-08 3.059078e-09)
140           	(-6.194858e-09 -2.248739e-08 3.862527e-09)
160           	(-6.403289e-09 -2.732884e-08 4.043190e-09)
180           	(-6.603220e-09 -3.266739e-08 4.240732e-09)
200           	(-6.604768e-09 -3.827969e-08 4.368372e-09)
220           	(-6.333114e-09 -4.391084e-08 4.429008e-09)
240           	(-5.787078e-09 -4.935899e-08 4.418334e-09)
260           	(-5.025097e-09 -5.452116e-08 4.327044e-09)
280           	(-4.072637e-09 -5.939913e-08 4.226168e-09)
300           	(-2.944753e-09 -6.410335e-08 4.220579e-09)
320           	(-1.761626e-09 -6.889946e-08 4.319522e-09)
340           	(-6.880024e-10 -7.407618e-08 4.458748e-09)
360           	(1.363051e-10 -7.977704e-08 4.570324e-09)
380           	(6.499694e-10 -8.592211e-08 4.633242e-09)
400           	(8.997652e-10 -9.226733e-08 4.664426e-09)
420           	(9.903722e-10 -9.855482e-08 4.683742e-09)
440           	(1.019490e-09 -1.046060e-07 4.703546e-09)
460           	(1.047092e-09 -1.103322e-07 4.729830e-09)
480           	(1.096094e-09 -1.157105e-07 4.762735e-09)
500           	(1.166870e-09 -1.207587e-07 4.799834e-09)
520           	(1.251536e-09 -1.255153e-07 4.837847e-09)
540           	(1.342426e-09 -1.300238e-07 4.873467e-09)
560           	(1.434718e-09 -1.343248e-07 4.904623e-09)
580           	(1.527167e-09 -1.384531e-07 4.929845e-09)
600           	(1.619702e-09 -1.424396e-07 4.949033e-09)
620           	(1.712933e-09 -1.463103e-07 4.962536e-09)
640           	(1.807117e-09 -1.500864e-07 4.971533e-09)
660           	(1.902056e-09 -1.537856e-07 4.977214e-09)
680           	(1.996313e-09 -1.574236e-07 4.981093e-09)
700           	(2.087715e-09 -1.610098e-07 4.985271e-09)
720           	(2.173695e-09 -1.645495e-07 4.990961e-09)
740           	(2.251374e-09 -1.680499e-07 4.997354e-09)
760           	(2.318784e-09 -1.715194e-07 5.003671e-09)
780           	(2.377352e-09 -1.749651e-07 5.008735e-09)
800           	(2.431534e-09 -1.783966e-07 5.011627e-09)
820           	(2.485613e-09 -1.818265e-07 5.012232e-09)
840           	(2.540991e-09 -1.852641e-07 5.010732e-09)
860           	(2.597533e-09 -1.887131e-07 5.007837e-09)
880           	(2.654438e-09 -1.921719e-07 5.004563e-09)
900           	(2.710353e-09 -1.956374e-07 5.001733e-09)
920           	(2.763901e-09 -1.991055e-07 4.999738e-09)
940           	(2.814061e-09 -2.025727e-07 4.998643e-09)
960           	(2.860572e-09 -2.060368e-07 4.998258e-09)
980           	(2.903570e-09 -2.094965e-07 4.998311e-09)
1000          	(2.943399e-09 -2.129518e-07 4.998626e-09)
1020          	(2.980386e-09 -2.164034e-07 4.999207e-09)
