# Region      : cellZone cz_solid_98
# Cells       : 1930
# Volume      : 2.144515e-03
# Time        	volIntegrateU
20            	-5.202794e-09 -5.698759e-09 4.130670e-09
40            	-8.160297e-09 -7.112026e-09 2.230861e-09
60            	-7.069407e-09 -4.659158e-09 1.576568e-09
80            	-5.521649e-09 -6.836043e-10 1.295308e-09
100           	-4.293075e-09 3.021185e-09 8.142653e-10
120           	-3.505491e-09 5.986141e-09 4.522801e-10
140           	-3.082098e-09 8.464608e-09 2.579789e-10
160           	-2.632049e-09 1.041763e-08 6.529985e-11
180           	-2.396107e-09 1.207375e-08 -1.044222e-11
200           	-2.221753e-09 1.355566e-08 -4.926325e-11
220           	-2.070973e-09 1.488686e-08 -7.844240e-11
240           	-1.919642e-09 1.603905e-08 -1.198389e-10
260           	-1.761395e-09 1.698897e-08 -1.757404e-10
280           	-1.605676e-09 1.777071e-08 -2.291318e-10
300           	-1.462868e-09 1.844545e-08 -2.683856e-10
320           	-1.333333e-09 1.904444e-08 -2.962310e-10
340           	-1.210198e-09 1.957254e-08 -3.204516e-10
360           	-1.085351e-09 2.003903e-08 -3.441703e-10
380           	-9.614671e-10 2.047536e-08 -3.592090e-10
400           	-8.482979e-10 2.092693e-08 -3.531379e-10
420           	-7.573874e-10 2.143955e-08 -3.171067e-10
440           	-6.981016e-10 2.206100e-08 -2.510882e-10
460           	-6.789833e-10 2.284117e-08 -1.627933e-10
480           	-7.047127e-10 2.381691e-08 -6.909434e-11
500           	-7.675046e-10 2.497799e-08 1.081033e-11
520           	-8.356499e-10 2.624683e-08 7.608887e-11
540           	-8.782351e-10 2.751740e-08 1.368054e-10
560           	-8.953837e-10 2.872435e-08 1.911786e-10
580           	-9.010718e-10 2.986748e-08 2.379489e-10
600           	-8.994841e-10 3.097334e-08 2.738745e-10
620           	-8.910223e-10 3.206288e-08 2.990806e-10
640           	-8.775995e-10 3.314657e-08 3.155980e-10
660           	-8.617382e-10 3.422695e-08 3.250506e-10
680           	-8.447907e-10 3.530216e-08 3.283314e-10
700           	-8.273244e-10 3.636813e-08 3.263180e-10
720           	-8.095995e-10 3.742070e-08 3.204089e-10
740           	-7.918203e-10 3.845723e-08 3.118584e-10
760           	-7.739385e-10 3.947681e-08 3.016174e-10
780           	-7.562949e-10 4.047966e-08 2.902512e-10
800           	-7.391730e-10 4.146682e-08 2.780879e-10
820           	-7.225409e-10 4.243917e-08 2.654568e-10
840           	-7.064612e-10 4.339754e-08 2.524967e-10
860           	-6.909213e-10 4.434340e-08 2.394603e-10
880           	-6.752841e-10 4.527922e-08 2.268490e-10
900           	-6.591158e-10 4.620802e-08 2.152861e-10
920           	-6.433966e-10 4.713284e-08 2.046548e-10
940           	-6.283538e-10 4.805610e-08 1.949348e-10
960           	-6.134202e-10 4.897885e-08 1.865592e-10
980           	-5.984208e-10 4.990099e-08 1.798854e-10
1000          	-5.836276e-10 5.082178e-08 1.746331e-10
1020          	-5.693668e-10 5.173937e-08 1.703399e-10
