# Region      : cellZone cz_solid_55
# Cells       : 2409
# Volume      : 2.144782e-03
# Time        	volIntegrate(U)
20            	(5.756510e-09 -1.677279e-08 2.738472e-09)
40            	(5.282678e-09 -2.825884e-08 3.366866e-09)
60            	(3.736256e-09 -3.619573e-08 3.848069e-09)
80            	(1.356098e-09 -3.880454e-08 3.596768e-09)
100           	(-1.040949e-09 -3.603893e-08 2.477015e-09)
120           	(-2.728170e-09 -2.941323e-08 9.080668e-10)
140           	(-3.456639e-09 -2.130197e-08 -4.091241e-10)
160           	(-3.884604e-09 -1.324125e-08 -1.571202e-09)
180           	(-3.566596e-09 -6.018708e-09 -1.957135e-09)
200           	(-3.097549e-09 3.535022e-11 -2.058317e-09)
220           	(-2.609057e-09 4.979786e-09 -2.014115e-09)
240           	(-2.146365e-09 9.001769e-09 -1.902444e-09)
260           	(-1.722376e-09 1.229952e-08 -1.762330e-09)
280           	(-1.343642e-09 1.505402e-08 -1.613803e-09)
300           	(-1.002818e-09 1.740116e-08 -1.463523e-09)
320           	(-7.003362e-10 1.944839e-08 -1.315912e-09)
340           	(-4.298811e-10 2.128628e-08 -1.172948e-09)
360           	(-1.879773e-10 2.298691e-08 -1.037920e-09)
380           	(3.101283e-11 2.461425e-08 -9.133059e-10)
400           	(2.288333e-10 2.622934e-08 -8.008888e-10)
420           	(4.109470e-10 2.788373e-08 -7.015731e-10)
440           	(5.819910e-10 2.962050e-08 -6.151982e-10)
460           	(7.457884e-10 3.147463e-08 -5.397649e-10)
480           	(9.070474e-10 3.347149e-08 -4.708609e-10)
500           	(1.064912e-09 3.562987e-08 -3.999181e-10)
520           	(1.212429e-09 3.795591e-08 -3.148075e-10)
540           	(1.337013e-09 4.043462e-08 -2.052453e-10)
560           	(1.427132e-09 4.303410e-08 -7.130558e-11)
580           	(1.477261e-09 4.570440e-08 6.848236e-11)
600           	(1.491519e-09 4.838058e-08 1.885957e-10)
620           	(1.479972e-09 5.100269e-08 2.743839e-10)
640           	(1.451258e-09 5.354018e-08 3.258263e-10)
660           	(1.413499e-09 5.599968e-08 3.520968e-10)
680           	(1.371639e-09 5.840903e-08 3.617576e-10)
700           	(1.327715e-09 6.080180e-08 3.620065e-10)
720           	(1.282035e-09 6.320657e-08 3.571097e-10)
740           	(1.234007e-09 6.564334e-08 3.495560e-10)
760           	(1.183355e-09 6.812457e-08 3.399593e-10)
780           	(1.130131e-09 7.065666e-08 3.281670e-10)
800           	(1.074236e-09 7.324109e-08 3.137237e-10)
820           	(1.016570e-09 7.587640e-08 2.968217e-10)
840           	(9.578022e-10 7.855854e-08 2.780473e-10)
860           	(8.981744e-10 8.128237e-08 2.582088e-10)
880           	(8.379557e-10 8.404182e-08 2.380817e-10)
900           	(7.774454e-10 8.683034e-08 2.183458e-10)
920           	(7.168044e-10 8.964194e-08 1.995262e-10)
940           	(6.557749e-10 9.246913e-08 1.817207e-10)
960           	(5.945525e-10 9.530314e-08 1.652052e-10)
980           	(5.336500e-10 9.813386e-08 1.503535e-10)
1000          	(4.741769e-10 1.009516e-07 1.376118e-10)
1020          	(4.176742e-10 1.037472e-07 1.274236e-10)
1040          	(3.654750e-10 1.065130e-07 1.197756e-10)
1060          	(3.175825e-10 1.092436e-07 1.139541e-10)
1080          	(2.733931e-10 1.119403e-07 1.083370e-10)
1100          	(2.316180e-10 1.146117e-07 1.014917e-10)
1120          	(1.910993e-10 1.172667e-07 9.261532e-11)
1140          	(1.509757e-10 1.199081e-07 8.198202e-11)
1160          	(1.107611e-10 1.225344e-07 6.995768e-11)
1180          	(7.027143e-11 1.251427e-07 5.712435e-11)
1200          	(2.922696e-11 1.277293e-07 4.416547e-11)
1220          	(-1.221683e-11 1.302909e-07 3.144101e-11)
1240          	(-5.795006e-11 1.328221e-07 1.802366e-11)
1260          	(-9.677618e-11 1.353232e-07 5.152189e-12)
1280          	(-1.306362e-10 1.377913e-07 -7.559230e-12)
1300          	(-1.956267e-10 1.402681e-07 -3.798742e-11)
1320          	(-3.049568e-10 1.426759e-07 -6.927073e-11)
1340          	(-1.611614e-10 1.450921e-07 5.295094e-11)
1360          	(1.167663e-09 1.465904e-07 -1.161137e-10)
1380          	(9.347297e-09 1.344909e-07 -2.146661e-09)
1400          	(6.256098e-08 -2.358818e-08 -1.364991e-08)
1420          	(3.179964e-07 -1.095266e-06 4.859123e-08)
1440          	(1.474888e-06 -6.238294e-06 7.155551e-07)
1460          	(6.315232e-06 -2.731917e-05 2.507879e-06)
1480          	(2.848510e-05 -1.166518e-04 7.485050e-06)
1500          	(1.218830e-04 -5.189613e-04 2.945103e-05)
