# Region type : faceZone fz_solid_73
# Faces  :    1673
# Area   :    1.017269e-01
# Time        	sum(phi)
20            	2.726126e-06
40            	5.393396e-06
60            	2.025577e-06
80            	-1.079721e-05
100           	-3.796914e-05
120           	-7.977056e-05
140           	-6.474384e-05
160           	-1.316878e-04
180           	-1.167609e-04
200           	-9.323675e-05
220           	-7.954871e-05
240           	-7.010357e-05
260           	-6.456062e-05
280           	-6.235875e-05
300           	-6.187526e-05
320           	-6.198238e-05
340           	-6.228160e-05
360           	-6.238638e-05
380           	-6.224250e-05
400           	-6.199255e-05
420           	-6.175511e-05
440           	-6.156935e-05
460           	-6.138177e-05
480           	-6.116827e-05
500           	-6.084429e-05
520           	-6.047112e-05
540           	-6.007857e-05
560           	-5.959447e-05
580           	-5.901247e-05
600           	-5.834931e-05
620           	-5.773750e-05
640           	-5.736994e-05
660           	-5.730650e-05
680           	-5.757228e-05
700           	-5.860498e-05
720           	-6.014063e-05
740           	-6.163954e-05
760           	-6.286047e-05
780           	-6.380005e-05
800           	-6.441251e-05
820           	-6.472678e-05
840           	-6.479035e-05
860           	-6.459805e-05
880           	-6.405340e-05
900           	-6.316816e-05
