# Region type : faceZone fz_solid_54
# Faces  :    1736
# Area   :    1.017200e-01
# Time        	sum(phi)
20            	5.506752e-05
40            	3.971085e-05
60            	1.199846e-05
80            	-2.952188e-05
100           	-8.026059e-05
120           	-1.167896e-04
140           	-1.102783e-04
160           	-8.693854e-05
180           	-5.827362e-05
200           	-3.993425e-05
220           	-2.695426e-05
240           	-1.640777e-05
260           	-8.083858e-06
280           	-1.440819e-06
300           	3.777605e-06
320           	7.940733e-06
340           	1.134689e-05
360           	1.429768e-05
380           	1.685201e-05
400           	1.909194e-05
420           	2.105664e-05
440           	2.280799e-05
460           	2.438888e-05
480           	2.583917e-05
500           	2.718677e-05
520           	2.847594e-05
540           	2.960204e-05
560           	3.044038e-05
580           	3.082282e-05
600           	3.065098e-05
620           	3.017953e-05
640           	2.990311e-05
660           	2.998911e-05
680           	3.030100e-05
700           	3.069215e-05
720           	3.107314e-05
740           	3.138597e-05
760           	3.159188e-05
780           	3.170387e-05
800           	3.173730e-05
820           	3.169213e-05
840           	3.159973e-05
860           	3.146648e-05
880           	3.127764e-05
900           	3.107870e-05
920           	3.087891e-05
940           	3.074204e-05
960           	3.068527e-05
980           	3.071996e-05
1000          	3.080068e-05
1020          	3.088220e-05
