# Region      : cellZone cz_solid_63
# Cells       : 1946
# Volume      : 2.143386e-03
# Time        	volIntegrateU
20            	-1.598909e-10 -4.096733e-09 9.844985e-11
40            	-5.453526e-10 -5.801302e-09 3.209183e-10
60            	-8.158634e-10 -6.819556e-09 2.748016e-10
80            	-1.071698e-09 -7.400693e-09 1.094339e-10
100           	-1.299415e-09 -7.864072e-09 -7.285952e-11
120           	-1.501191e-09 -8.417027e-09 -2.329032e-10
140           	-1.789385e-09 -9.245069e-09 -4.361389e-10
160           	-2.013376e-09 -1.037454e-08 -5.904555e-10
180           	-2.179935e-09 -1.178791e-08 -7.025604e-10
200           	-2.292650e-09 -1.342962e-08 -7.936064e-10
220           	-2.333265e-09 -1.518626e-08 -8.478014e-10
240           	-2.290850e-09 -1.691666e-08 -8.314502e-10
260           	-2.177465e-09 -1.848973e-08 -7.057928e-10
280           	-2.032510e-09 -1.981952e-08 -4.624589e-10
300           	-1.899184e-09 -2.089116e-08 -1.307961e-10
320           	-1.795025e-09 -2.175859e-08 2.424202e-10
340           	-1.726227e-09 -2.251486e-08 6.301436e-10
360           	-1.695024e-09 -2.326272e-08 1.028289e-09
380           	-1.686759e-09 -2.411801e-08 1.424608e-09
400           	-1.682434e-09 -2.518442e-08 1.786962e-09
420           	-1.671535e-09 -2.651464e-08 2.080329e-09
440           	-1.654848e-09 -2.810106e-08 2.284083e-09
460           	-1.642462e-09 -2.987928e-08 2.407709e-09
480           	-1.643204e-09 -3.176068e-08 2.478980e-09
500           	-1.659076e-09 -3.366892e-08 2.523659e-09
520           	-1.687276e-09 -3.555733e-08 2.558816e-09
540           	-1.722848e-09 -3.740688e-08 2.593922e-09
560           	-1.760812e-09 -3.921659e-08 2.632517e-09
580           	-1.797616e-09 -4.099117e-08 2.674295e-09
600           	-1.832073e-09 -4.273645e-08 2.716846e-09
620           	-1.862910e-09 -4.446093e-08 2.757810e-09
640           	-1.889385e-09 -4.617197e-08 2.795750e-09
660           	-1.911650e-09 -4.787200e-08 2.830094e-09
680           	-1.930167e-09 -4.956056e-08 2.861026e-09
700           	-1.945571e-09 -5.123723e-08 2.888794e-09
720           	-1.958401e-09 -5.290324e-08 2.913541e-09
740           	-1.968914e-09 -5.456193e-08 2.935321e-09
760           	-1.977562e-09 -5.621632e-08 2.954438e-09
780           	-1.984818e-09 -5.786840e-08 2.971170e-09
800           	-1.990753e-09 -5.951925e-08 2.985660e-09
820           	-1.995201e-09 -6.116990e-08 2.997905e-09
840           	-1.998478e-09 -6.282045e-08 3.007888e-09
860           	-2.000975e-09 -6.447007e-08 3.015736e-09
880           	-2.002804e-09 -6.611769e-08 3.021966e-09
900           	-2.004005e-09 -6.776294e-08 3.027493e-09
920           	-2.004680e-09 -6.940648e-08 3.032973e-09
940           	-2.005111e-09 -7.104982e-08 3.038578e-09
960           	-2.005570e-09 -7.269448e-08 3.044306e-09
980           	-2.006206e-09 -7.434149e-08 3.050053e-09
1000          	-2.007093e-09 -7.599135e-08 3.055715e-09
1020          	-2.008202e-09 -7.764425e-08 3.061174e-09
