# Region type : faceZone fz_solid_65
# Faces  :    1618
# Area   :    1.017078e-01
# Time        	sum(phi)
20            	-2.321541e-05
40            	-2.263586e-05
60            	-2.398936e-05
80            	-2.624537e-05
100           	-2.929074e-05
120           	-3.308461e-05
140           	-3.884573e-05
160           	-4.257796e-05
180           	-4.610133e-05
200           	-4.879311e-05
220           	-5.004489e-05
240           	-4.924364e-05
260           	-4.475130e-05
280           	-3.411231e-05
300           	-1.813207e-05
320           	2.879475e-06
340           	2.835437e-05
360           	5.250237e-05
380           	6.969113e-05
400           	7.778018e-05
420           	8.117711e-05
440           	8.230038e-05
460           	8.367709e-05
480           	8.776979e-05
500           	9.507719e-05
520           	1.052500e-04
540           	1.173157e-04
560           	1.296700e-04
580           	1.411024e-04
600           	1.513867e-04
620           	1.601545e-04
640           	1.670449e-04
660           	1.727524e-04
680           	1.774145e-04
700           	1.813047e-04
720           	1.844619e-04
740           	1.869763e-04
760           	1.891012e-04
780           	1.909259e-04
800           	1.923462e-04
820           	1.933404e-04
840           	1.937833e-04
860           	1.938713e-04
880           	1.936068e-04
900           	1.931919e-04
920           	1.928009e-04
940           	1.925089e-04
960           	1.923181e-04
980           	1.921040e-04
1000          	1.918540e-04
1020          	1.915478e-04
