# Region type : faceZone fz_solid_6
# Faces  :    1676
# Area   :    1.017408e-01
# Time        	sum(phi)
20            	-5.911667e-05
40            	-6.144722e-05
60            	-6.757040e-05
80            	-7.425762e-05
100           	-8.100444e-05
120           	-8.806590e-05
140           	-9.805120e-05
160           	-1.064629e-04
180           	-1.168904e-04
200           	-1.299053e-04
220           	-1.454940e-04
240           	-1.641218e-04
260           	-1.865663e-04
280           	-2.124960e-04
300           	-2.404046e-04
320           	-2.688041e-04
340           	-2.974476e-04
360           	-3.261451e-04
380           	-3.528032e-04
400           	-3.762210e-04
420           	-3.965783e-04
440           	-4.138117e-04
460           	-4.260173e-04
480           	-4.316262e-04
500           	-4.313338e-04
520           	-4.271869e-04
540           	-4.216316e-04
560           	-4.166820e-04
580           	-4.132059e-04
600           	-4.116414e-04
620           	-4.121468e-04
640           	-4.146201e-04
660           	-4.187948e-04
680           	-4.244262e-04
700           	-4.313091e-04
720           	-4.393845e-04
740           	-4.487450e-04
760           	-4.596904e-04
780           	-4.728163e-04
800           	-4.889938e-04
820           	-5.090740e-04
840           	-5.336968e-04
860           	-5.630244e-04
880           	-5.957236e-04
900           	-6.289504e-04
920           	-6.594954e-04
940           	-6.854933e-04
960           	-7.054858e-04
980           	-7.200380e-04
1000          	-7.301020e-04
1020          	-7.370566e-04
