# Region      : cellZone cz_solid_23
# Cells       : 2044
# Volume      : 2.143832e-03
# Time        	volIntegrate(U)
20            	(-1.141289e-09 -6.820040e-09 -1.782303e-09)
40            	(-1.186597e-09 -1.062377e-08 -1.417805e-09)
60            	(-1.302590e-09 -1.347127e-08 -1.300125e-09)
80            	(-1.426857e-09 -1.562845e-08 -1.268853e-09)
100           	(-1.547916e-09 -1.741055e-08 -1.274096e-09)
120           	(-1.662599e-09 -1.902095e-08 -1.290415e-09)
140           	(-1.795625e-09 -2.061210e-08 -1.351574e-09)
160           	(-1.950477e-09 -2.232943e-08 -1.398686e-09)
180           	(-2.061756e-09 -2.420966e-08 -1.427093e-09)
200           	(-2.152981e-09 -2.628100e-08 -1.454627e-09)
220           	(-2.217513e-09 -2.853872e-08 -1.477088e-09)
240           	(-2.248557e-09 -3.095560e-08 -1.490754e-09)
260           	(-2.238245e-09 -3.347990e-08 -1.489293e-09)
280           	(-2.180820e-09 -3.604433e-08 -1.464020e-09)
300           	(-2.076358e-09 -3.857730e-08 -1.404110e-09)
320           	(-1.936085e-09 -4.102516e-08 -1.302356e-09)
340           	(-1.782262e-09 -4.336074e-08 -1.159083e-09)
360           	(-1.644639e-09 -4.559199e-08 -9.760910e-10)
380           	(-1.542025e-09 -4.776386e-08 -7.511655e-10)
400           	(-1.474652e-09 -4.994681e-08 -4.694401e-10)
420           	(-1.435093e-09 -5.221649e-08 -1.229560e-10)
440           	(-1.412428e-09 -5.463384e-08 2.631051e-10)
460           	(-1.393979e-09 -5.725180e-08 6.311155e-10)
480           	(-1.365953e-09 -6.009644e-08 9.264093e-10)
500           	(-1.324641e-09 -6.313412e-08 1.125413e-09)
520           	(-1.278330e-09 -6.629190e-08 1.237335e-09)
540           	(-1.236376e-09 -6.949261e-08 1.286911e-09)
560           	(-1.203267e-09 -7.267095e-08 1.300223e-09)
580           	(-1.180209e-09 -7.578083e-08 1.297666e-09)
600           	(-1.166423e-09 -7.879811e-08 1.291654e-09)
620           	(-1.159989e-09 -8.171602e-08 1.288427e-09)
640           	(-1.158716e-09 -8.453944e-08 1.289966e-09)
660           	(-1.160804e-09 -8.728022e-08 1.296338e-09)
680           	(-1.164636e-09 -8.995330e-08 1.306596e-09)
700           	(-1.169159e-09 -9.257390e-08 1.319827e-09)
720           	(-1.173681e-09 -9.515618e-08 1.335063e-09)
740           	(-1.177939e-09 -9.771215e-08 1.351675e-09)
760           	(-1.181684e-09 -1.002508e-07 1.369144e-09)
780           	(-1.184998e-09 -1.027779e-07 1.387017e-09)
800           	(-1.188141e-09 -1.052953e-07 1.404982e-09)
820           	(-1.191590e-09 -1.078013e-07 1.422747e-09)
840           	(-1.195810e-09 -1.102918e-07 1.439918e-09)
860           	(-1.201120e-09 -1.127619e-07 1.456253e-09)
880           	(-1.207509e-09 -1.152082e-07 1.471683e-09)
900           	(-1.214356e-09 -1.176315e-07 1.486322e-09)
920           	(-1.220851e-09 -1.200386e-07 1.500664e-09)
940           	(-1.226612e-09 -1.224400e-07 1.515318e-09)
960           	(-1.231559e-09 -1.248457e-07 1.530531e-09)
980           	(-1.235946e-09 -1.272616e-07 1.545694e-09)
1000          	(-1.240070e-09 -1.296884e-07 1.560254e-09)
1020          	(-1.244339e-09 -1.321234e-07 1.573677e-09)
