# Region      : cellZone cz_solid_38
# Cells       : 1978
# Volume      : 2.145124e-03
# Time        	volIntegrate(U)
20            	(4.177962e-09 -1.016751e-08 -2.365372e-09)
40            	(3.331197e-09 -1.511204e-08 -1.721097e-09)
60            	(2.622149e-09 -1.788815e-08 -1.350536e-09)
80            	(2.039357e-09 -1.879576e-08 -1.135170e-09)
100           	(1.560111e-09 -1.835429e-08 -1.002393e-09)
120           	(1.165014e-09 -1.705622e-08 -9.190217e-10)
140           	(8.189436e-10 -1.530885e-08 -8.473938e-10)
160           	(5.883235e-10 -1.351519e-08 -8.338364e-10)
180           	(4.582523e-10 -1.182724e-08 -8.364916e-10)
200           	(3.889213e-10 -1.031806e-08 -8.523941e-10)
220           	(3.614189e-10 -8.997643e-09 -8.730966e-10)
240           	(3.628144e-10 -7.837239e-09 -8.953499e-10)
260           	(3.794619e-10 -6.782176e-09 -9.148187e-10)
280           	(4.025432e-10 -5.778348e-09 -9.275628e-10)
300           	(4.281476e-10 -4.782442e-09 -9.335952e-10)
320           	(4.580685e-10 -3.774069e-09 -9.351789e-10)
340           	(4.985132e-10 -2.751077e-09 -9.336883e-10)
360           	(5.521242e-10 -1.731743e-09 -9.231581e-10)
380           	(6.176772e-10 -7.626757e-10 -9.007588e-10)
400           	(6.707499e-10 8.757048e-11 -8.698373e-10)
420           	(6.917147e-10 7.519760e-10 -8.453673e-10)
440           	(6.857262e-10 1.205585e-09 -8.346207e-10)
460           	(6.677796e-10 1.466926e-09 -8.326878e-10)
480           	(6.475451e-10 1.571661e-09 -8.316964e-10)
500           	(6.284491e-10 1.552656e-09 -8.264247e-10)
520           	(6.074886e-10 1.434308e-09 -8.123963e-10)
540           	(5.814208e-10 1.227048e-09 -7.883164e-10)
560           	(5.494081e-10 9.312723e-10 -7.558408e-10)
580           	(5.127224e-10 5.425459e-10 -7.172007e-10)
600           	(4.742617e-10 5.820986e-11 -6.748968e-10)
620           	(4.365575e-10 -5.181258e-10 -6.311883e-10)
640           	(4.010896e-10 -1.175215e-09 -5.880806e-10)
660           	(3.683850e-10 -1.895545e-09 -5.471279e-10)
680           	(3.388153e-10 -2.658436e-09 -5.092286e-10)
700           	(3.119212e-10 -3.443628e-09 -4.745811e-10)
720           	(2.872102e-10 -4.233736e-09 -4.430077e-10)
740           	(2.641209e-10 -5.014893e-09 -4.136379e-10)
760           	(2.417908e-10 -5.775935e-09 -3.855667e-10)
780           	(2.197659e-10 -6.508187e-09 -3.580033e-10)
800           	(1.974814e-10 -7.204929e-09 -3.302364e-10)
820           	(1.746999e-10 -7.861258e-09 -3.019266e-10)
840           	(1.512809e-10 -8.474122e-09 -2.732155e-10)
860           	(1.270806e-10 -9.041427e-09 -2.444153e-10)
880           	(1.021234e-10 -9.561578e-09 -2.162428e-10)
900           	(7.673284e-11 -1.003340e-08 -1.893683e-10)
920           	(5.118223e-11 -1.045602e-08 -1.642477e-10)
940           	(2.613278e-11 -1.082925e-08 -1.411156e-10)
960           	(2.205239e-12 -1.115392e-08 -1.198218e-10)
980           	(-2.020287e-11 -1.143182e-08 -1.001533e-10)
1000          	(-4.108396e-11 -1.166598e-08 -8.165279e-11)
1020          	(-6.067700e-11 -1.186109e-08 -6.398464e-11)
