# Region type : faceZone fz_solid_87
# Faces  :    1917
# Area   :    1.015822e-01
# Time        	sum(phi)
20            	-8.606994e-06
40            	-2.228192e-05
60            	-3.382261e-05
80            	-3.969352e-05
100           	-3.730097e-05
120           	-2.278305e-05
140           	5.772906e-06
160           	6.633020e-05
180           	1.450977e-04
200           	2.193371e-04
220           	2.945807e-04
240           	3.747958e-04
260           	4.552353e-04
280           	5.267111e-04
300           	5.920881e-04
320           	6.438847e-04
340           	6.776763e-04
360           	6.991229e-04
380           	7.071781e-04
400           	7.089615e-04
420           	7.083491e-04
440           	7.097662e-04
460           	7.149236e-04
480           	7.231986e-04
500           	7.332607e-04
520           	7.413194e-04
540           	7.479669e-04
560           	7.533515e-04
580           	7.573749e-04
600           	7.604025e-04
620           	7.622676e-04
640           	7.631907e-04
660           	7.631640e-04
680           	7.620831e-04
700           	7.601274e-04
720           	7.573583e-04
740           	7.537692e-04
760           	7.502701e-04
780           	7.469702e-04
800           	7.418696e-04
820           	7.360078e-04
840           	7.308845e-04
860           	7.264210e-04
880           	7.223354e-04
900           	7.184269e-04
920           	7.146009e-04
940           	7.109239e-04
960           	7.073747e-04
980           	7.040566e-04
1000          	7.009140e-04
1020          	6.978966e-04
1040          	6.949837e-04
1060          	6.921563e-04
1080          	6.894055e-04
1100          	6.867426e-04
