# Region      : cellZone cz_solid_13
# Cells       : 1797
# Volume      : 2.142720e-03
# Time        	volIntegrateU
20            	4.833127e-09 -6.118491e-09 6.462788e-09
40            	4.497881e-09 -1.124734e-08 6.117652e-09
60            	4.326476e-09 -1.615371e-08 6.088375e-09
80            	4.146797e-09 -2.082438e-08 6.093522e-09
100           	3.899624e-09 -2.518922e-08 6.080517e-09
120           	3.536189e-09 -2.912379e-08 6.001979e-09
140           	2.948654e-09 -3.227523e-08 5.656960e-09
160           	2.196138e-09 -3.455662e-08 5.214412e-09
180           	1.461798e-09 -3.585426e-08 4.551473e-09
200           	7.696413e-10 -3.610859e-08 3.703061e-09
220           	2.085249e-10 -3.538777e-08 2.745558e-09
240           	-1.749463e-10 -3.392810e-08 1.813299e-09
260           	-3.992208e-10 -3.206296e-08 1.026967e-09
280           	-5.053076e-10 -3.007490e-08 4.308084e-10
300           	-5.250113e-10 -2.813124e-08 1.258683e-11
320           	-4.840925e-10 -2.630160e-08 -2.593873e-10
340           	-4.049521e-10 -2.458886e-08 -4.105308e-10
360           	-3.129832e-10 -2.296332e-08 -4.687130e-10
380           	-2.077862e-10 -2.152490e-08 -4.635709e-10
400           	-9.434279e-11 -2.037991e-08 -4.193598e-10
420           	2.518551e-11 -1.945469e-08 -3.462565e-10
440           	1.456284e-10 -1.864553e-08 -2.493346e-10
460           	2.620574e-10 -1.787810e-08 -1.354315e-10
480           	3.735322e-10 -1.711900e-08 -1.129386e-11
500           	4.853056e-10 -1.637080e-08 1.190756e-10
520           	6.067079e-10 -1.566620e-08 2.536790e-10
540           	7.563628e-10 -1.508631e-08 3.962838e-10
560           	9.380358e-10 -1.471898e-08 5.424652e-10
580           	1.111912e-09 -1.459972e-08 7.000461e-10
600           	1.217918e-09 -1.467900e-08 8.794217e-10
620           	1.226397e-09 -1.485983e-08 1.071186e-09
640           	1.155506e-09 -1.506023e-08 1.241938e-09
660           	1.052886e-09 -1.526714e-08 1.352829e-09
680           	9.711172e-10 -1.552309e-08 1.387678e-09
700           	9.295228e-10 -1.585460e-08 1.362999e-09
720           	9.188903e-10 -1.628121e-08 1.305525e-09
740           	9.242756e-10 -1.682249e-08 1.235443e-09
760           	9.326604e-10 -1.748622e-08 1.165486e-09
780           	9.378545e-10 -1.826376e-08 1.100138e-09
800           	9.382870e-10 -1.913652e-08 1.041441e-09
820           	9.340477e-10 -2.008355e-08 9.892704e-10
840           	9.258000e-10 -2.108646e-08 9.428196e-10
860           	9.140295e-10 -2.212945e-08 9.000839e-10
880           	8.993463e-10 -2.319872e-08 8.599700e-10
900           	8.821041e-10 -2.428200e-08 8.222701e-10
920           	8.627167e-10 -2.536885e-08 7.863398e-10
940           	8.422507e-10 -2.645196e-08 7.518575e-10
960           	8.227259e-10 -2.752918e-08 7.192900e-10
980           	8.053251e-10 -2.860467e-08 6.889693e-10
1000          	7.893064e-10 -2.968630e-08 6.603445e-10
1020          	7.746565e-10 -3.078172e-08 6.336735e-10
