# Region      : cellZone cz_solid_77
# Cells       : 1872
# Volume      : 2.137986e-03
# Time        	volIntegrate(U)
20            	(2.006291e-09 -1.659729e-08 3.949387e-09)
40            	(-2.790669e-09 -2.160386e-08 2.614793e-09)
60            	(-4.171034e-09 -2.117066e-08 3.695418e-10)
80            	(-3.867900e-09 -1.836412e-08 -4.271705e-10)
100           	(-3.140690e-09 -1.526526e-08 -5.155123e-10)
120           	(-2.539030e-09 -1.243889e-08 -4.884684e-10)
140           	(-2.099120e-09 -9.925737e-09 -4.342086e-10)
160           	(-1.657401e-09 -7.743915e-09 -4.118971e-10)
180           	(-1.390596e-09 -5.742963e-09 -3.877653e-10)
200           	(-1.195174e-09 -3.882541e-09 -3.670390e-10)
220           	(-1.046001e-09 -2.140550e-09 -3.489237e-10)
240           	(-9.256443e-10 -4.970255e-10 -3.349082e-10)
260           	(-8.235455e-10 1.067983e-09 -3.249736e-10)
280           	(-7.343594e-10 2.568916e-09 -3.174812e-10)
300           	(-6.570380e-10 4.014616e-09 -3.111718e-10)
320           	(-5.886057e-10 5.406358e-09 -3.069556e-10)
340           	(-5.262452e-10 6.742178e-09 -3.061307e-10)
360           	(-4.664468e-10 8.021091e-09 -3.095395e-10)
380           	(-4.083583e-10 9.245824e-09 -3.157481e-10)
400           	(-3.530224e-10 1.042609e-08 -3.223164e-10)
420           	(-3.035262e-10 1.157584e-08 -3.268971e-10)
440           	(-2.624190e-10 1.271214e-08 -3.280745e-10)
460           	(-2.318537e-10 1.385216e-08 -3.249531e-10)
480           	(-2.130494e-10 1.500907e-08 -3.169692e-10)
500           	(-2.061774e-10 1.618890e-08 -3.051009e-10)
520           	(-2.104913e-10 1.738771e-08 -2.906104e-10)
540           	(-2.234211e-10 1.859191e-08 -2.748308e-10)
560           	(-2.422170e-10 1.978218e-08 -2.580316e-10)
580           	(-2.654939e-10 2.094019e-08 -2.406015e-10)
600           	(-2.913101e-10 2.205387e-08 -2.236322e-10)
620           	(-3.174185e-10 2.311930e-08 -2.082080e-10)
640           	(-3.417964e-10 2.413962e-08 -1.945466e-10)
660           	(-3.631379e-10 2.512302e-08 -1.823859e-10)
680           	(-3.807215e-10 2.608074e-08 -1.712430e-10)
700           	(-3.950090e-10 2.702439e-08 -1.609019e-10)
720           	(-4.066251e-10 2.796381e-08 -1.511451e-10)
740           	(-4.162642e-10 2.890535e-08 -1.419178e-10)
760           	(-4.243997e-10 2.985184e-08 -1.333780e-10)
780           	(-4.314631e-10 3.080308e-08 -1.256885e-10)
800           	(-4.376276e-10 3.175677e-08 -1.189834e-10)
820           	(-4.428910e-10 3.270907e-08 -1.133316e-10)
840           	(-4.471137e-10 3.365534e-08 -1.086587e-10)
860           	(-4.500005e-10 3.459042e-08 -1.047887e-10)
880           	(-4.512736e-10 3.550928e-08 -1.014467e-10)
900           	(-4.507341e-10 3.640721e-08 -9.817575e-11)
920           	(-4.480747e-10 3.727975e-08 -9.410184e-11)
940           	(-4.425958e-10 3.812264e-08 -8.825624e-11)
960           	(-4.336138e-10 3.893140e-08 -8.078025e-11)
980           	(-4.204987e-10 3.970130e-08 -7.391289e-11)
1000          	(-4.031887e-10 4.043020e-08 -7.067552e-11)
1020          	(-3.832573e-10 4.112087e-08 -7.230402e-11)
1040          	(-3.641695e-10 4.177938e-08 -7.715896e-11)
