# Region      : cellZone cz_solid_36
# Cells       : 1858
# Volume      : 2.142388e-03
# Time        	volIntegrate(U)
20            	(6.302414e-09 -1.300592e-08 4.189413e-10)
40            	(5.579912e-09 -2.113195e-08 7.566375e-10)
60            	(4.730154e-09 -2.654434e-08 9.257930e-10)
80            	(3.720843e-09 -2.890767e-08 9.300966e-10)
100           	(2.660566e-09 -2.858532e-08 7.689416e-10)
120           	(1.682439e-09 -2.632754e-08 5.037176e-10)
140           	(7.767118e-10 -2.293136e-08 1.837696e-10)
160           	(1.529993e-10 -1.930974e-08 -8.618186e-11)
180           	(-1.748323e-10 -1.593108e-08 -2.788408e-10)
200           	(-3.461323e-10 -1.302290e-08 -4.175323e-10)
220           	(-4.099005e-10 -1.064616e-08 -5.128473e-10)
240           	(-4.013882e-10 -8.770573e-09 -5.763286e-10)
260           	(-3.503723e-10 -7.312833e-09 -6.178814e-10)
280           	(-2.786821e-10 -6.173494e-09 -6.434215e-10)
300           	(-1.990941e-10 -5.253589e-09 -6.569594e-10)
320           	(-1.156649e-10 -4.470004e-09 -6.612988e-10)
340           	(-2.524507e-11 -3.750950e-09 -6.593779e-10)
360           	(7.143154e-11 -3.037136e-09 -6.522321e-10)
380           	(1.823544e-10 -2.280147e-09 -6.411824e-10)
400           	(3.028699e-10 -1.431446e-09 -6.257963e-10)
420           	(4.276368e-10 -4.548328e-10 -6.038624e-10)
440           	(5.527730e-10 6.666795e-10 -5.696605e-10)
460           	(6.681027e-10 1.912715e-09 -5.106732e-10)
480           	(7.547195e-10 3.219204e-09 -4.198200e-10)
500           	(7.977223e-10 4.489559e-09 -3.239585e-10)
520           	(7.999452e-10 5.620085e-09 -2.603177e-10)
540           	(7.807563e-10 6.544452e-09 -2.356270e-10)
560           	(7.583322e-10 7.251977e-09 -2.324617e-10)
580           	(7.390156e-10 7.762096e-09 -2.350853e-10)
600           	(7.237419e-10 8.104483e-09 -2.358626e-10)
620           	(7.111645e-10 8.306852e-09 -2.335295e-10)
640           	(7.000545e-10 8.391082e-09 -2.288945e-10)
660           	(6.895972e-10 8.374471e-09 -2.231096e-10)
680           	(6.798816e-10 8.272269e-09 -2.169611e-10)
700           	(6.704201e-10 8.100005e-09 -2.108378e-10)
720           	(6.608371e-10 7.873838e-09 -2.048877e-10)
740           	(6.505157e-10 7.610410e-09 -1.990942e-10)
760           	(6.384228e-10 7.326576e-09 -1.935894e-10)
780           	(6.244192e-10 7.038094e-09 -1.884652e-10)
800           	(6.080628e-10 6.758714e-09 -1.837955e-10)
820           	(5.892440e-10 6.499689e-09 -1.795387e-10)
840           	(5.682236e-10 6.269394e-09 -1.757662e-10)
860           	(5.447864e-10 6.074212e-09 -1.723541e-10)
880           	(5.191326e-10 5.919114e-09 -1.694081e-10)
900           	(4.917577e-10 5.808089e-09 -1.669765e-10)
920           	(4.627024e-10 5.744321e-09 -1.649027e-10)
940           	(4.324301e-10 5.730196e-09 -1.632788e-10)
960           	(4.012179e-10 5.767569e-09 -1.621766e-10)
980           	(3.693482e-10 5.858180e-09 -1.615907e-10)
1000          	(3.370597e-10 6.003541e-09 -1.611430e-10)
1020          	(3.052153e-10 6.203251e-09 -1.603362e-10)
