# Region type : faceZone fz_solid_47
# Faces  :    1636
# Area   :    1.016944e-01
# Time        	sum(phi)
20            	3.427669e-05
40            	4.460543e-05
60            	5.803366e-05
80            	7.285665e-05
100           	8.827594e-05
120           	1.038362e-04
140           	1.330910e-04
160           	1.482910e-04
180           	1.663580e-04
200           	1.841793e-04
220           	1.957621e-04
240           	1.923595e-04
260           	1.710427e-04
280           	1.422937e-04
300           	1.103484e-04
320           	9.837115e-05
340           	1.297866e-04
360           	1.951961e-04
380           	2.618035e-04
400           	3.032120e-04
420           	3.175650e-04
440           	3.223785e-04
460           	3.227098e-04
480           	3.217864e-04
500           	3.210071e-04
520           	3.207453e-04
540           	3.208077e-04
560           	3.209848e-04
580           	3.210293e-04
600           	3.207472e-04
620           	3.201597e-04
640           	3.192895e-04
660           	3.182279e-04
680           	3.170708e-04
700           	3.159439e-04
720           	3.150678e-04
740           	3.147723e-04
760           	3.154638e-04
780           	3.175339e-04
800           	3.209563e-04
820           	3.252178e-04
840           	3.301165e-04
860           	3.355987e-04
880           	3.413350e-04
900           	3.470661e-04
920           	3.527454e-04
940           	3.582489e-04
960           	3.635411e-04
980           	3.686940e-04
1000          	3.737216e-04
1020          	3.787634e-04
