# Region type : faceZone fz_solid_59
# Faces  :    1622
# Area   :    1.016997e-01
# Time        	sum(phi)
20            	8.778486e-06
40            	6.824851e-06
60            	5.843127e-06
80            	4.888640e-06
100           	3.895757e-06
120           	3.192522e-06
140           	2.325834e-06
160           	1.963309e-06
180           	2.141210e-06
200           	2.188954e-06
220           	2.261264e-06
240           	2.368989e-06
260           	2.549542e-06
280           	2.777308e-06
300           	3.070396e-06
320           	3.408126e-06
340           	3.758136e-06
360           	4.128745e-06
380           	4.514553e-06
400           	4.892662e-06
420           	5.259699e-06
440           	5.583252e-06
460           	5.812566e-06
480           	5.898385e-06
500           	5.835329e-06
520           	5.639264e-06
540           	5.357864e-06
560           	5.170868e-06
580           	5.244202e-06
600           	5.698194e-06
620           	6.452276e-06
640           	7.228201e-06
