# Region type : faceZone fz_solid_72
# Faces  :    1722
# Area   :    1.017162e-01
# Time        	sum(phi)
20            	-3.608757e-05
40            	-4.624713e-05
60            	-5.757663e-05
80            	-6.828033e-05
100           	-7.658609e-05
120           	-7.925725e-05
140           	-7.037111e-05
160           	-5.081290e-05
180           	-2.656602e-05
200           	-6.434082e-06
220           	6.335645e-06
240           	1.079679e-05
260           	1.214559e-05
280           	1.322475e-05
300           	1.451110e-05
320           	1.580990e-05
340           	1.723233e-05
360           	1.849186e-05
380           	1.944585e-05
400           	2.019930e-05
420           	2.068150e-05
440           	2.103576e-05
460           	2.120707e-05
480           	2.130191e-05
500           	2.137593e-05
520           	2.160576e-05
540           	2.193399e-05
560           	2.234913e-05
580           	2.283096e-05
600           	2.332809e-05
620           	2.399490e-05
640           	2.494754e-05
660           	2.622740e-05
680           	2.772008e-05
700           	2.890136e-05
720           	2.982058e-05
740           	3.067287e-05
760           	3.149496e-05
780           	3.237657e-05
800           	3.330015e-05
820           	3.426153e-05
840           	3.517760e-05
860           	3.614769e-05
880           	3.711768e-05
900           	3.824817e-05
920           	3.941906e-05
940           	4.084814e-05
960           	4.250667e-05
980           	4.449700e-05
