# Region type : faceZone fz_solid_88
# Faces  :    1446
# Area   :    1.016357e-01
# Time        	sum(phi)
20            	-2.133870e-05
40            	-3.250281e-05
60            	-4.897231e-05
80            	-6.593914e-05
100           	-8.490653e-05
120           	-1.070379e-04
140           	-1.513376e-04
160           	-1.827819e-04
180           	-2.280837e-04
200           	-2.754005e-04
220           	-3.074172e-04
240           	-3.214051e-04
260           	-2.981504e-04
280           	-2.587180e-04
300           	-2.161177e-04
320           	-1.812102e-04
340           	-1.942436e-04
360           	-2.297024e-04
380           	-2.594109e-04
400           	-2.805914e-04
420           	-2.949572e-04
440           	-3.069942e-04
460           	-3.185665e-04
480           	-3.279696e-04
500           	-3.365227e-04
520           	-3.427121e-04
540           	-3.468671e-04
560           	-3.506746e-04
580           	-3.545327e-04
600           	-3.580845e-04
620           	-3.613184e-04
640           	-3.640350e-04
660           	-3.660472e-04
680           	-3.679604e-04
700           	-3.712390e-04
720           	-3.751400e-04
740           	-3.784336e-04
760           	-3.807943e-04
780           	-3.831933e-04
800           	-3.860700e-04
820           	-3.891793e-04
840           	-3.923104e-04
860           	-3.952074e-04
880           	-3.978251e-04
900           	-4.000761e-04
920           	-4.021009e-04
940           	-4.038882e-04
960           	-4.054469e-04
980           	-4.068803e-04
1000          	-4.082626e-04
1020          	-4.096849e-04
