# Region type : faceZone fz_solid_16
# Faces  :    1604
# Area   :    1.017001e-01
# Time        	sum(phi)
20            	5.950021e-05
40            	7.091353e-05
60            	8.661462e-05
80            	1.005680e-04
100           	1.102448e-04
120           	1.135893e-04
140           	1.084568e-04
160           	9.324433e-05
180           	7.433212e-05
200           	5.494812e-05
220           	3.942625e-05
240           	3.475137e-05
260           	3.570531e-05
280           	3.890711e-05
300           	4.072951e-05
320           	4.149728e-05
340           	4.217409e-05
360           	4.251249e-05
380           	4.615017e-05
400           	5.562086e-05
420           	6.778887e-05
440           	8.233612e-05
460           	9.344718e-05
480           	9.783067e-05
500           	9.521272e-05
520           	8.752062e-05
540           	7.619818e-05
560           	6.283754e-05
580           	4.971908e-05
600           	3.924244e-05
620           	3.221797e-05
640           	2.717385e-05
660           	2.402678e-05
680           	2.139584e-05
700           	1.879095e-05
720           	1.595322e-05
740           	1.253477e-05
760           	8.071692e-06
780           	2.453139e-06
800           	-4.214309e-06
820           	-1.123442e-05
840           	-1.780230e-05
860           	-2.325794e-05
880           	-2.685680e-05
900           	-2.821024e-05
920           	-2.695726e-05
940           	-2.252890e-05
960           	-1.400973e-05
980           	-5.654966e-06
1000          	4.169217e-06
