# Region type : faceZone fz_solid_95
# Faces  :    1805
# Area   :    1.016244e-01
# Time        	sum(phi)
20            	9.033796e-05
40            	1.174324e-04
60            	1.336712e-04
80            	1.344950e-04
100           	6.237806e-05
120           	1.569216e-05
140           	2.637029e-05
160           	6.834289e-05
180           	5.162939e-05
200           	3.067852e-05
220           	1.324482e-05
240           	-4.080995e-07
260           	-1.099920e-05
280           	-1.916720e-05
300           	-2.541467e-05
320           	-3.006474e-05
340           	-3.351197e-05
360           	-3.630335e-05
380           	-3.873605e-05
400           	-4.093660e-05
420           	-4.289272e-05
440           	-4.485126e-05
460           	-4.743183e-05
480           	-5.140666e-05
500           	-5.706408e-05
520           	-6.412645e-05
540           	-7.344440e-05
560           	-8.668792e-05
580           	-1.017350e-04
600           	-1.143804e-04
620           	-1.167906e-04
640           	-1.187060e-04
660           	-1.213145e-04
680           	-1.241892e-04
700           	-1.282208e-04
720           	-1.328058e-04
740           	-1.375538e-04
760           	-1.423002e-04
780           	-1.470412e-04
800           	-1.512204e-04
820           	-1.548725e-04
840           	-1.584438e-04
860           	-1.614775e-04
880           	-1.640140e-04
900           	-1.665915e-04
920           	-1.691984e-04
940           	-1.715196e-04
960           	-1.737908e-04
980           	-1.758573e-04
1000          	-1.781133e-04
1020          	-1.804118e-04
1040          	-1.821394e-04
1060          	-1.833710e-04
1080          	-1.842497e-04
1100          	-1.845016e-04
1120          	-1.845466e-04
1140          	-1.841407e-04
