# Region      : cellZone cz_solid_56
# Cells       : 2321
# Volume      : 2.141804e-03
# Time        	volIntegrate(U)
20            	(4.947029e-09 -1.717672e-08 1.366861e-09)
40            	(3.538655e-09 -2.600339e-08 2.313718e-09)
60            	(1.438983e-09 -2.821645e-08 2.453048e-09)
80            	(-7.115968e-10 -2.402648e-08 1.720430e-09)
100           	(-2.286032e-09 -1.570447e-08 6.496261e-10)
120           	(-3.132825e-09 -5.897606e-09 -2.285567e-10)
140           	(-3.398224e-09 3.541015e-09 -7.819794e-10)
160           	(-3.474089e-09 1.181245e-08 -1.072261e-09)
180           	(-3.182443e-09 1.853426e-08 -1.233772e-09)
200           	(-2.797420e-09 2.390996e-08 -1.246495e-09)
220           	(-2.410020e-09 2.818482e-08 -1.209806e-09)
240           	(-2.057006e-09 3.161123e-08 -1.151249e-09)
260           	(-1.743648e-09 3.441071e-08 -1.085948e-09)
280           	(-1.473199e-09 3.676455e-08 -1.020424e-09)
300           	(-1.239684e-09 3.881076e-08 -9.581274e-10)
320           	(-1.038096e-09 4.065080e-08 -8.992355e-10)
340           	(-8.637477e-10 4.235919e-08 -8.447142e-10)
360           	(-7.093403e-10 4.399455e-08 -7.959425e-10)
380           	(-5.687136e-10 4.560320e-08 -7.542873e-10)
400           	(-4.376352e-10 4.722366e-08 -7.204412e-10)
420           	(-3.110818e-10 4.888589e-08 -6.936062e-10)
440           	(-1.863041e-10 5.061072e-08 -6.719638e-10)
460           	(-6.279100e-11 5.241073e-08 -6.521925e-10)
480           	(5.760430e-11 5.428993e-08 -6.293955e-10)
500           	(1.715083e-10 5.624188e-08 -5.965323e-10)
520           	(2.727580e-10 5.824638e-08 -5.474620e-10)
540           	(3.532019e-10 6.027152e-08 -4.834354e-10)
560           	(4.070937e-10 6.227337e-08 -4.160155e-10)
580           	(4.333870e-10 6.420537e-08 -3.577330e-10)
600           	(4.342929e-10 6.602906e-08 -3.134828e-10)
620           	(4.162568e-10 6.772250e-08 -2.826305e-10)
640           	(3.861618e-10 6.928209e-08 -2.619081e-10)
660           	(3.489384e-10 7.071826e-08 -2.480004e-10)
680           	(3.083522e-10 7.204970e-08 -2.383015e-10)
700           	(2.663555e-10 7.329833e-08 -2.311436e-10)
720           	(2.245834e-10 7.448654e-08 -2.258135e-10)
740           	(1.841390e-10 7.563464e-08 -2.221653e-10)
760           	(1.458356e-10 7.675980e-08 -2.200924e-10)
780           	(1.099644e-10 7.787438e-08 -2.192150e-10)
800           	(7.692940e-11 7.898671e-08 -2.190084e-10)
820           	(4.694241e-11 8.010153e-08 -2.188119e-10)
840           	(1.991562e-11 8.122100e-08 -2.182760e-10)
860           	(-4.374768e-12 8.234606e-08 -2.170569e-10)
880           	(-2.607803e-11 8.347645e-08 -2.149124e-10)
900           	(-4.548570e-11 8.461195e-08 -2.119076e-10)
920           	(-6.325633e-11 8.575301e-08 -2.083181e-10)
940           	(-8.023959e-11 8.690153e-08 -2.043917e-10)
960           	(-9.761979e-11 8.806099e-08 -2.005150e-10)
980           	(-1.163557e-10 8.923545e-08 -1.969999e-10)
1000          	(-1.366800e-10 9.042808e-08 -1.939214e-10)
1020          	(-1.585800e-10 9.163949e-08 -1.912633e-10)
