# Region type : faceZone fz_solid_21
# Faces  :    1782
# Area   :    1.016309e-01
# Time        	sum(phi)
20            	2.052597e-05
40            	1.613114e-05
60            	1.227257e-05
80            	9.484705e-06
100           	8.099997e-06
120           	7.859544e-06
140           	8.439928e-06
160           	1.012033e-05
180           	1.163001e-05
200           	1.364780e-05
220           	1.581031e-05
240           	1.788759e-05
260           	1.967016e-05
280           	2.093654e-05
300           	2.164827e-05
320           	2.212568e-05
340           	2.263116e-05
360           	2.331063e-05
380           	2.431743e-05
400           	2.600048e-05
420           	2.903632e-05
440           	3.479656e-05
460           	4.493515e-05
480           	6.007477e-05
500           	7.929577e-05
520           	9.970696e-05
540           	1.168288e-04
560           	1.272964e-04
580           	1.308758e-04
600           	1.295872e-04
620           	1.264338e-04
640           	1.235079e-04
660           	1.219180e-04
680           	1.220418e-04
700           	1.236368e-04
720           	1.261344e-04
740           	1.289892e-04
760           	1.317827e-04
780           	1.344147e-04
800           	1.368321e-04
820           	1.390842e-04
840           	1.411342e-04
860           	1.429557e-04
880           	1.446022e-04
900           	1.461381e-04
920           	1.475891e-04
940           	1.490427e-04
960           	1.505776e-04
980           	1.522420e-04
1000          	1.540221e-04
1020          	1.556500e-04
1040          	1.568777e-04
1060          	1.576226e-04
1080          	1.579132e-04
1100          	1.578357e-04
1120          	1.575951e-04
1140          	1.572276e-04
