# Region      : cellZone cz_solid_30
# Cells       : 2114
# Volume      : 2.144944e-03
# Time        	volIntegrateU
20            	-1.032409e-09 -8.633550e-09 4.537112e-09
40            	-1.141396e-09 -1.561919e-08 4.872082e-09
60            	-1.318149e-09 -2.230233e-08 5.351332e-09
80            	-1.510265e-09 -2.861160e-08 5.818187e-09
100           	-1.713337e-09 -3.472621e-08 6.237028e-09
120           	-1.926831e-09 -4.083145e-08 6.575512e-09
140           	-2.293367e-09 -4.729328e-08 6.801530e-09
160           	-2.565630e-09 -5.402461e-08 6.924739e-09
180           	-2.840804e-09 -6.100716e-08 6.777681e-09
200           	-3.114098e-09 -6.807800e-08 6.353589e-09
220           	-3.343978e-09 -7.496644e-08 5.601304e-09
240           	-3.475520e-09 -8.140841e-08 4.518400e-09
260           	-3.443406e-09 -8.726830e-08 3.181395e-09
280           	-3.163552e-09 -9.270354e-08 1.802975e-09
300           	-2.629021e-09 -9.814900e-08 6.655352e-10
320           	-1.980644e-09 -1.040239e-07 -7.463178e-11
340           	-1.392361e-09 -1.104748e-07 -4.509212e-10
360           	-9.560660e-10 -1.174016e-07 -5.818439e-10
380           	-6.720964e-10 -1.246081e-07 -5.710610e-10
400           	-4.985588e-10 -1.318865e-07 -4.868594e-10
420           	-3.950009e-10 -1.390537e-07 -3.664536e-10
440           	-3.348928e-10 -1.459621e-07 -2.326431e-10
460           	-3.023414e-10 -1.525076e-07 -1.001920e-10
480           	-2.863090e-10 -1.586273e-07 1.913842e-11
500           	-2.781350e-10 -1.642949e-07 1.171775e-10
520           	-2.698931e-10 -1.695152e-07 1.911252e-10
540           	-2.550423e-10 -1.743138e-07 2.440986e-10
560           	-2.295222e-10 -1.787244e-07 2.841767e-10
580           	-1.924553e-10 -1.827783e-07 3.207287e-10
600           	-1.456024e-10 -1.864999e-07 3.636270e-10
620           	-9.368590e-11 -1.899067e-07 4.219801e-10
640           	-4.448802e-11 -1.930097e-07 5.020328e-10
660           	-7.604620e-12 -1.958157e-07 6.047413e-10
680           	9.930197e-12 -1.983292e-07 7.253734e-10
700           	6.736414e-12 -2.005574e-07 8.559226e-10
720           	-1.388396e-11 -2.025118e-07 9.880422e-10
740           	-4.920141e-11 -2.042013e-07 1.109131e-09
760           	-9.373523e-11 -2.056164e-07 1.204952e-09
780           	-1.308462e-10 -2.067347e-07 1.269136e-09
800           	-1.500698e-10 -2.075465e-07 1.314294e-09
820           	-1.624041e-10 -2.080447e-07 1.348319e-09
840           	-1.769337e-10 -2.082142e-07 1.373438e-09
860           	-2.005180e-10 -2.080469e-07 1.386651e-09
880           	-2.374244e-10 -2.075504e-07 1.381353e-09
900           	-2.752531e-10 -2.067564e-07 1.356738e-09
920           	-3.030747e-10 -2.057182e-07 1.318459e-09
940           	-3.145342e-10 -2.044967e-07 1.272838e-09
960           	-3.072674e-10 -2.031611e-07 1.225940e-09
980           	-2.862164e-10 -2.017807e-07 1.180294e-09
1000          	-2.558903e-10 -2.004085e-07 1.136872e-09
1020          	-2.210688e-10 -1.990812e-07 1.100571e-09
