# Region type : faceZone fz_solid_29
# Faces  :    1652
# Area   :    1.016990e-01
# Time        	sum(phi)
20            	5.576737e-05
40            	6.123570e-05
60            	6.941775e-05
80            	7.779009e-05
100           	8.642769e-05
120           	9.541904e-05
140           	1.058897e-04
160           	1.185415e-04
180           	1.287618e-04
200           	1.377568e-04
220           	1.444766e-04
240           	1.470883e-04
260           	1.438044e-04
280           	1.340066e-04
300           	1.198357e-04
320           	1.039292e-04
340           	8.786814e-05
360           	7.250355e-05
380           	5.991931e-05
400           	5.117257e-05
420           	4.575398e-05
440           	4.259212e-05
460           	4.070222e-05
480           	3.948659e-05
500           	3.863318e-05
520           	3.800535e-05
540           	3.747587e-05
560           	3.698370e-05
580           	3.643964e-05
600           	3.579832e-05
620           	3.504734e-05
640           	3.423228e-05
660           	3.346846e-05
680           	3.293807e-05
700           	3.278377e-05
720           	3.321903e-05
740           	3.440718e-05
760           	3.645433e-05
780           	3.936574e-05
800           	4.267389e-05
820           	4.552069e-05
840           	4.725624e-05
860           	4.797020e-05
880           	4.817795e-05
900           	4.811728e-05
920           	4.803396e-05
940           	4.841119e-05
960           	4.955139e-05
980           	5.206500e-05
1000          	5.688164e-05
1020          	6.468779e-05
