# Region type : faceZone fz_solid_2
# Faces  :    1953
# Area   :    1.017180e-01
# Time        	sum(phi)
20            	-9.853689e-07
40            	-5.248083e-06
60            	-8.557400e-06
80            	-1.124524e-05
100           	-1.357575e-05
120           	-1.499480e-05
140           	-1.299985e-05
160           	-1.416945e-05
180           	-1.786824e-05
200           	-2.291413e-05
220           	-2.380628e-05
240           	-2.390543e-05
260           	-2.481629e-05
280           	-2.656119e-05
300           	-2.765347e-05
320           	-2.688924e-05
340           	-2.346347e-05
360           	-1.660958e-05
380           	-7.444021e-06
400           	1.394996e-06
420           	8.447182e-06
440           	1.312796e-05
460           	1.731308e-05
480           	2.538855e-05
500           	4.146808e-05
520           	6.428620e-05
540           	9.152916e-05
560           	1.183535e-04
580           	1.380533e-04
600           	1.408988e-04
620           	1.365959e-04
640           	1.315015e-04
660           	1.271024e-04
680           	1.240326e-04
700           	1.222106e-04
720           	1.213538e-04
740           	1.212291e-04
760           	1.216017e-04
780           	1.223756e-04
800           	1.233985e-04
820           	1.246682e-04
840           	1.261627e-04
860           	1.277993e-04
880           	1.296340e-04
900           	1.316441e-04
