# Region type : faceZone fz_solid_31
# Faces  :    1768
# Area   :    1.016329e-01
# Time        	sum(phi)
20            	-2.284423e-05
40            	-2.645366e-05
60            	-2.999749e-05
80            	-3.280640e-05
100           	-3.465004e-05
120           	-3.505544e-05
140           	-3.163330e-05
160           	-2.499183e-05
180           	-1.707156e-05
200           	-4.735678e-06
220           	1.166494e-05
240           	3.158641e-05
260           	5.272020e-05
280           	6.747752e-05
300           	6.897539e-05
320           	6.144140e-05
340           	5.135392e-05
360           	4.230818e-05
380           	3.493678e-05
400           	2.879742e-05
420           	2.355711e-05
440           	1.891340e-05
460           	1.496916e-05
480           	1.165568e-05
500           	8.902039e-06
520           	6.636562e-06
540           	4.613689e-06
560           	2.683322e-06
580           	7.338523e-07
600           	-1.320056e-06
620           	-3.528412e-06
640           	-5.802594e-06
660           	-8.055865e-06
680           	-1.021284e-05
700           	-1.222703e-05
720           	-1.406881e-05
740           	-1.583114e-05
760           	-1.760167e-05
780           	-1.930498e-05
800           	-2.089049e-05
820           	-2.255801e-05
840           	-2.420105e-05
860           	-2.506587e-05
880           	-2.415067e-05
900           	-2.164573e-05
