# Region type : faceZone fz_solid_41
# Faces  :    1724
# Area   :    1.016782e-01
# Time        	sum(phi)
20            	8.969955e-06
40            	6.933248e-06
60            	6.119430e-06
80            	5.555060e-06
100           	5.253784e-06
120           	5.118312e-06
140           	4.838658e-06
160           	5.183392e-06
180           	5.324130e-06
200           	5.466019e-06
220           	5.650952e-06
240           	5.920835e-06
260           	6.202933e-06
280           	6.507958e-06
300           	6.774029e-06
320           	7.098570e-06
340           	7.531218e-06
360           	8.033723e-06
380           	8.211074e-06
400           	7.864184e-06
420           	7.278848e-06
440           	7.535910e-06
460           	1.034512e-05
480           	1.426827e-05
500           	1.465937e-05
520           	1.162138e-05
540           	8.021875e-06
560           	5.787251e-06
580           	4.968374e-06
600           	5.582231e-06
620           	6.471416e-06
640           	7.086089e-06
660           	7.311851e-06
680           	7.262311e-06
700           	7.056452e-06
720           	6.836840e-06
740           	6.586916e-06
760           	6.284359e-06
780           	5.836706e-06
800           	5.257511e-06
820           	4.568043e-06
840           	3.834278e-06
860           	3.080605e-06
880           	2.269364e-06
900           	1.428708e-06
920           	6.510599e-07
940           	-4.420918e-08
960           	-5.164928e-07
980           	-7.582757e-07
1000          	-8.550225e-07
1020          	-8.283708e-07
1040          	-7.220755e-07
