# Region type : faceZone fz_solid_72
# Faces  :    1865
# Area   :    1.017246e-01
# Time        	sum(phi)
20            	-1.915110e-05
40            	-3.034383e-05
60            	-4.190677e-05
80            	-5.317555e-05
100           	-6.213272e-05
120           	-6.751959e-05
140           	-6.752259e-05
160           	-5.472659e-05
180           	-4.288229e-05
200           	-2.816118e-05
220           	-1.819720e-05
240           	-9.311208e-06
260           	-5.723870e-07
280           	4.902058e-06
300           	8.326879e-06
320           	1.073461e-05
340           	1.260264e-05
360           	1.406507e-05
380           	1.553193e-05
400           	1.706868e-05
420           	1.864365e-05
440           	2.028065e-05
460           	2.189456e-05
480           	2.347682e-05
500           	2.503898e-05
520           	2.655472e-05
540           	2.804455e-05
560           	2.948165e-05
580           	3.088397e-05
600           	3.227316e-05
620           	3.373077e-05
640           	3.521420e-05
660           	3.664620e-05
680           	3.815832e-05
700           	4.012252e-05
720           	4.225843e-05
740           	4.425303e-05
760           	4.600741e-05
780           	4.749703e-05
800           	4.889869e-05
820           	5.025867e-05
840           	5.159852e-05
860           	5.293458e-05
880           	5.428273e-05
900           	5.565568e-05
920           	5.703877e-05
940           	5.845787e-05
960           	5.994312e-05
980           	6.148061e-05
1000          	6.303816e-05
1020          	6.460034e-05
1040          	6.616334e-05
1060          	6.768988e-05
1080          	6.913835e-05
1100          	7.049162e-05
1120          	7.170726e-05
1140          	7.281483e-05
