# Region type : faceZone fz_solid_99
# Faces  :    1636
# Area   :    1.015457e-01
# Time        	sum(phi)
20            	-2.309770e-05
40            	-2.495183e-05
60            	-1.931448e-05
80            	-1.819030e-05
100           	-1.421786e-05
120           	-6.458371e-06
140           	1.703874e-06
160           	5.897721e-06
180           	8.090669e-06
200           	7.301689e-06
220           	5.752945e-06
240           	5.543629e-06
260           	8.084148e-06
280           	1.343655e-05
300           	1.809103e-05
320           	1.878119e-05
340           	1.586959e-05
360           	1.172461e-05
380           	9.398951e-06
400           	1.058284e-05
420           	1.366262e-05
440           	2.451300e-05
460           	3.830969e-05
480           	5.154675e-05
500           	6.251319e-05
520           	7.471247e-05
540           	8.974029e-05
560           	1.052678e-04
580           	1.232964e-04
600           	1.416388e-04
620           	1.568179e-04
640           	1.676998e-04
660           	1.759859e-04
680           	1.831983e-04
700           	1.900243e-04
720           	1.965122e-04
740           	2.022794e-04
760           	2.070917e-04
780           	2.109794e-04
800           	2.140330e-04
820           	2.163366e-04
840           	2.180554e-04
860           	2.193063e-04
880           	2.200950e-04
900           	2.204130e-04
920           	2.204601e-04
940           	2.203142e-04
960           	2.201287e-04
980           	2.199776e-04
1000          	2.199172e-04
1020          	2.198905e-04
1040          	2.198686e-04
1060          	2.198259e-04
1080          	2.197284e-04
1100          	2.195642e-04
1120          	2.193051e-04
