# Region type : faceZone fz_solid_31
# Faces  :    1784
# Area   :    1.016968e-01
# Time        	sum(phi)
20            	-2.189671e-05
40            	-2.458866e-05
60            	-2.730226e-05
80            	-3.017937e-05
100           	-3.293098e-05
120           	-3.550091e-05
140           	-3.864289e-05
160           	-4.094518e-05
180           	-4.335988e-05
200           	-4.464133e-05
220           	-4.401366e-05
240           	-4.011720e-05
260           	-3.030312e-05
280           	-1.498480e-05
300           	-8.987845e-07
320           	7.847564e-06
340           	1.157961e-05
360           	1.255719e-05
380           	1.215092e-05
400           	1.107909e-05
420           	9.504943e-06
440           	7.548688e-06
460           	5.418438e-06
480           	3.331147e-06
500           	1.480019e-06
520           	3.564051e-08
540           	-9.919846e-07
560           	-1.638143e-06
580           	-2.070327e-06
600           	-2.412519e-06
620           	-2.777416e-06
640           	-3.303509e-06
660           	-4.049066e-06
680           	-5.054458e-06
700           	-6.281180e-06
720           	-7.772754e-06
740           	-9.524711e-06
760           	-1.160744e-05
780           	-1.406631e-05
800           	-1.663241e-05
820           	-1.858117e-05
840           	-1.984055e-05
860           	-2.083140e-05
880           	-2.147099e-05
900           	-2.148960e-05
920           	-2.099402e-05
940           	-2.024004e-05
960           	-1.941845e-05
980           	-1.867612e-05
1000          	-1.807370e-05
1020          	-1.764447e-05
1040          	-1.737193e-05
1060          	-1.721576e-05
1080          	-1.709800e-05
1100          	-1.705172e-05
