# Region type : faceZone fz_solid_9
# Faces  :    1672
# Area   :    1.017280e-01
# Time        	sum(phi)
20            	-7.918229e-05
40            	-9.551725e-05
60            	-1.113179e-04
80            	-1.271915e-04
100           	-1.417055e-04
120           	-1.541908e-04
140           	-1.653376e-04
160           	-1.692373e-04
180           	-1.768965e-04
200           	-1.831233e-04
220           	-1.929447e-04
240           	-2.089179e-04
260           	-2.327590e-04
280           	-2.592630e-04
300           	-2.832791e-04
320           	-3.002946e-04
340           	-3.087910e-04
360           	-3.061830e-04
380           	-2.974488e-04
400           	-2.812310e-04
420           	-2.583286e-04
440           	-2.329635e-04
460           	-2.099351e-04
480           	-1.918001e-04
500           	-1.786769e-04
520           	-1.696080e-04
540           	-1.635071e-04
560           	-1.594572e-04
580           	-1.566831e-04
600           	-1.545934e-04
620           	-1.529644e-04
640           	-1.514028e-04
660           	-1.495067e-04
680           	-1.470441e-04
700           	-1.438554e-04
720           	-1.397374e-04
740           	-1.347970e-04
760           	-1.288903e-04
780           	-1.221972e-04
800           	-1.151899e-04
820           	-1.081039e-04
840           	-1.015360e-04
860           	-9.583745e-05
880           	-9.084350e-05
900           	-8.678635e-05
920           	-8.302546e-05
940           	-7.910799e-05
960           	-7.511370e-05
980           	-7.146209e-05
1000          	-6.699517e-05
1020          	-5.783120e-05
1040          	-3.308195e-05
1060          	1.378363e-05
1080          	1.304284e-05
1100          	-3.329353e-05
