# Region      : cellZone cz_solid_42
# Cells       : 2030
# Volume      : 2.141866e-03
# Time        	volIntegrateU
20            	-2.765469e-10 -1.116834e-08 -1.493625e-09
40            	-6.394717e-10 -1.562900e-08 -8.839795e-10
60            	-8.910656e-10 -1.794755e-08 -7.766000e-10
80            	-1.086342e-09 -1.902840e-08 -8.532998e-10
100           	-1.245990e-09 -1.959438e-08 -9.942780e-10
120           	-1.379674e-09 -2.006654e-08 -1.128952e-09
140           	-1.513648e-09 -2.080794e-08 -1.312473e-09
160           	-1.704061e-09 -2.190349e-08 -1.480556e-09
180           	-1.835483e-09 -2.337778e-08 -1.595632e-09
200           	-1.951686e-09 -2.524247e-08 -1.697845e-09
220           	-2.043847e-09 -2.744766e-08 -1.789070e-09
240           	-2.105029e-09 -2.990721e-08 -1.856813e-09
260           	-2.125003e-09 -3.251195e-08 -1.880981e-09
280           	-2.096779e-09 -3.513520e-08 -1.851420e-09
300           	-2.013681e-09 -3.765073e-08 -1.778586e-09
320           	-1.879603e-09 -3.994048e-08 -1.669381e-09
340           	-1.720462e-09 -4.193111e-08 -1.514151e-09
360           	-1.564009e-09 -4.361913e-08 -1.303959e-09
380           	-1.423593e-09 -4.505809e-08 -1.039211e-09
400           	-1.306423e-09 -4.632639e-08 -7.188209e-10
420           	-1.216418e-09 -4.751577e-08 -3.445829e-10
440           	-1.152674e-09 -4.874110e-08 6.575509e-11
460           	-1.109586e-09 -5.012986e-08 4.807115e-10
480           	-1.076460e-09 -5.177326e-08 8.577873e-10
500           	-1.047438e-09 -5.369270e-08 1.157435e-09
520           	-1.022820e-09 -5.583645e-08 1.363071e-09
540           	-1.005874e-09 -5.811041e-08 1.481222e-09
560           	-9.980110e-10 -6.042432e-08 1.532209e-09
580           	-9.995413e-10 -6.271548e-08 1.542209e-09
600           	-1.008976e-09 -6.494886e-08 1.532839e-09
620           	-1.023641e-09 -6.711061e-08 1.518215e-09
640           	-1.040722e-09 -6.919987e-08 1.504506e-09
660           	-1.057978e-09 -7.122192e-08 1.493667e-09
680           	-1.074200e-09 -7.318320e-08 1.485617e-09
700           	-1.088781e-09 -7.509059e-08 1.479935e-09
720           	-1.101697e-09 -7.695122e-08 1.476320e-09
740           	-1.113128e-09 -7.877235e-08 1.474647e-09
760           	-1.123374e-09 -8.056129e-08 1.474788e-09
780           	-1.132690e-09 -8.232485e-08 1.476588e-09
800           	-1.141478e-09 -8.406860e-08 1.479863e-09
820           	-1.150216e-09 -8.579631e-08 1.484270e-09
840           	-1.159087e-09 -8.751053e-08 1.489280e-09
860           	-1.167955e-09 -8.921303e-08 1.494445e-09
880           	-1.176686e-09 -9.090477e-08 1.499722e-09
900           	-1.184833e-09 -9.258720e-08 1.505276e-09
920           	-1.191909e-09 -9.426290e-08 1.511733e-09
940           	-1.197818e-09 -9.593559e-08 1.519400e-09
960           	-1.202825e-09 -9.760868e-08 1.528298e-09
980           	-1.207369e-09 -9.928459e-08 1.537839e-09
1000          	-1.211957e-09 -1.009638e-07 1.547611e-09
1020          	-1.216803e-09 -1.026461e-07 1.557211e-09
