# Region      : cellZone cz_solid_3
# Cells       : 1982
# Volume      : 2.143604e-03
# Time        	volIntegrate(U)
20            	(-5.516846e-10 -3.185748e-09 -9.229290e-10)
40            	(-4.709456e-10 -4.582942e-09 -5.503679e-10)
60            	(-4.967312e-10 -5.476334e-09 -4.453278e-10)
80            	(-5.221296e-10 -6.050557e-09 -3.953589e-10)
100           	(-5.497014e-10 -6.460909e-09 -3.722527e-10)
120           	(-5.809875e-10 -6.801410e-09 -3.632307e-10)
140           	(-5.944819e-10 -7.132392e-09 -3.960848e-10)
160           	(-6.616250e-10 -7.480792e-09 -4.039593e-10)
180           	(-7.072138e-10 -7.903964e-09 -4.043910e-10)
200           	(-7.491565e-10 -8.407875e-09 -4.084643e-10)
220           	(-7.862389e-10 -9.004000e-09 -4.128620e-10)
240           	(-8.178023e-10 -9.704228e-09 -4.187110e-10)
260           	(-8.428870e-10 -1.051408e-08 -4.249111e-10)
280           	(-8.607819e-10 -1.143155e-08 -4.296424e-10)
300           	(-8.711772e-10 -1.244908e-08 -4.318223e-10)
320           	(-8.774043e-10 -1.355221e-08 -4.328099e-10)
340           	(-8.825961e-10 -1.472270e-08 -4.280991e-10)
360           	(-8.891700e-10 -1.593847e-08 -4.144679e-10)
380           	(-8.961234e-10 -1.717072e-08 -3.870790e-10)
400           	(-9.010917e-10 -1.838451e-08 -3.452095e-10)
420           	(-9.063899e-10 -1.954474e-08 -2.946944e-10)
440           	(-9.148926e-10 -2.063245e-08 -2.395711e-10)
460           	(-9.248916e-10 -2.165654e-08 -1.788588e-10)
480           	(-9.306172e-10 -2.264077e-08 -1.102586e-10)
500           	(-9.274566e-10 -2.359275e-08 -3.761586e-11)
520           	(-9.129621e-10 -2.449557e-08 3.123772e-11)
540           	(-8.875571e-10 -2.532120e-08 8.928998e-11)
560           	(-8.557029e-10 -2.605655e-08 1.327468e-10)
580           	(-8.239667e-10 -2.671802e-08 1.620563e-10)
600           	(-7.970641e-10 -2.733643e-08 1.805839e-10)
620           	(-7.764516e-10 -2.793584e-08 1.923672e-10)
640           	(-7.614859e-10 -2.852641e-08 2.006363e-10)
